Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,cambridge-500,7.1001472,3.0894306,0.008620266914367675
1,cambridge-500,5.26993,2.1970196,0.008620266914367675
2,cambridge-500,7.502079,2.29781,0.008620266914367675
3,cambridge-500,7.055702,2.6245415,0.008620266914367675
4,cambridge-500,8.367313,1.5641124,0.008620266914367675
5,cambridge-500,6.518588,1.8388679,0.008620266914367675
6,cambridge-500,5.930897,1.6707554,0.008620266914367675
7,cambridge-500,7.4674215,3.618979,0.008620266914367675
8,cambridge-500,6.421987,1.8078868,0.008620266914367675
9,cambridge-500,10.454695,5.3703837,0.008620266914367675
10,cambridge-500,7.227809,2.530966,0.008620266914367675
11,cambridge-500,7.8709807,2.2662902,0.008620266914367675
12,cambridge-500,5.5934277,1.977139,0.008620266914367675
13,cambridge-500,5.960038,2.958545,0.008620266914367675
14,cambridge-500,11.147747,5.2405205,0.008620266914367675
15,cambridge-500,9.67605,5.002886,0.008620266914367675
16,cambridge-500,10.178234,3.7598996,0.008620266914367675
17,cambridge-500,6.7669134,2.3150198,0.008620266914367675
18,cambridge-500,5.7094293,2.051975,0.008620266914367675
19,cambridge-500,7.7752237,3.9412534,0.008620266914367675
20,cambridge-500,5.4416957,1.7966461,0.008620266914367675
21,cambridge-500,6.2501564,2.2292178,0.008620266914367675
22,cambridge-500,9.538361,4.3559446,0.008620266914367675
23,cambridge-500,5.7355385,2.4491684,0.008620266914367675
24,cambridge-500,7.746647,1.8682554,0.008620266914367675
25,cambridge-500,7.0809355,2.2030718,0.008620266914367675
26,cambridge-500,6.705987,3.4866955,0.008620266914367675
27,cambridge-500,9.942394,4.7207866,0.008620266914367675
28,cambridge-500,6.985032,2.907271,0.008620266914367675
29,cambridge-500,5.5909114,2.1286223,0.008620266914367675
30,cambridge-500,6.0479436,2.2166185,0.008620266914367675
31,cambridge-500,9.087751,1.8032093,0.008620266914367675
32,cambridge-500,14.885668,2.0980349,0.008620266914367675
33,cambridge-500,9.439981,4.1150084,0.008620266914367675
34,cambridge-500,6.665939,3.4679627,0.008620266914367675
35,cambridge-500,10.19208,3.3657103,0.008620266914367675
36,cambridge-500,7.1059613,1.2646701,0.008620266914367675
37,cambridge-500,8.387204,3.5004556,0.008620266914367675
38,cambridge-500,9.010178,2.3199668,0.008620266914367675
39,cambridge-500,6.059847,3.0345201,0.008620266914367675
