Epoch,Avg Train Loss,Avg Valid Loss
0,38.40764,7.934209
1,7.3808064,6.8346014
2,7.575435,6.625422
3,10.351034,7.0873504
4,10.526833,7.574598
5,9.66973,6.565496
6,9.1784935,6.8259506
7,9.085309,6.575241
8,8.472523,6.2983184
9,8.9361515,6.375379
10,8.689313,6.260254
11,8.446605,6.2057877
12,8.240022,6.2770777
13,8.345193,6.1975694
14,8.410408,5.839647
15,8.459065,6.453312
16,8.413687,5.837531
17,8.5524845,6.054075
18,8.38883,5.7619414
19,8.327856,5.8988676
20,8.108312,5.899784
21,8.250775,6.105972
22,7.9105973,5.651223
23,8.090557,5.6888533
24,8.195246,5.5613713
25,8.09349,6.0351706
26,8.144725,5.87062
27,8.168956,5.5318575
28,8.220157,5.682627
29,8.197787,5.5164514
30,8.222235,6.6336365
31,7.983073,5.6908264
32,8.058224,5.8520517
33,7.9941716,5.7468367
34,8.033143,5.731252
35,7.980406,5.643247
36,7.9119334,6.1571465
37,7.9432225,5.627572
38,7.960752,5.5836983
39,7.8216496,5.8746905
40,7.9713883,5.595621
41,7.898381,5.6135607
42,7.8519993,6.431699
43,7.9459376,5.730606
44,7.981532,5.7082067
45,7.9551115,5.520767
46,7.887295,5.4552546
47,7.97774,6.885315
48,7.8515325,5.8728886
49,7.8733196,5.520156
50,7.9696507,5.466777
51,7.9529586,5.5502915
52,7.9992247,5.402893
53,7.899844,5.495885
54,8.025897,5.4742665
55,8.064438,5.5891447
56,7.877141,5.388234
57,7.818536,5.3676295
58,7.7812567,5.4483023
59,7.948886,5.4215994
60,7.812529,5.480145
61,7.807442,5.6421347
62,7.850786,5.6195354
63,7.809841,5.4826736
64,7.7825203,5.444668
65,7.7438707,5.3227854
66,7.8012133,5.5598984
67,7.729298,5.486033
68,7.6767836,5.745982
69,7.594277,5.3756185
70,7.6113896,5.388254
71,7.651026,5.290353
72,7.6265106,5.457384
73,7.53964,5.3097353
74,7.5776463,5.628798
75,7.535259,5.347162
76,7.567117,5.2583914
77,7.46446,5.398529
78,7.5161285,5.454504
79,7.498162,5.422101
80,7.4378533,5.5492516
81,7.407292,5.267221
82,7.449967,5.522916
83,7.3657966,5.3341393
84,7.3576875,5.3829036
85,7.3528,5.523965
86,7.321681,5.3223276
87,7.22132,5.212167
88,7.2953563,5.319285
89,7.354457,5.293721
90,7.260151,5.2554574
91,7.2688136,5.0944014
92,7.1704082,5.1306186
93,7.1186433,5.09515
94,7.128197,5.148054
95,7.0054126,5.2884417
96,7.0843215,5.1967163
97,6.915669,5.119086
98,6.909453,5.176156
99,6.905727,5.210517
