Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,cambridge-500,11.976919,10.303719,0.035499179363250734
1,cambridge-500,9.3784,7.8756566,0.035499179363250734
2,cambridge-500,10.288284,8.673057,0.035499179363250734
3,cambridge-500,10.834211,9.234232,0.035499179363250734
4,cambridge-500,8.977356,7.2240534,0.035499179363250734
5,cambridge-500,9.860117,8.503912,0.035499179363250734
6,cambridge-500,9.469767,7.736557,0.035499179363250734
7,cambridge-500,12.672878,11.124462,0.035499179363250734
8,cambridge-500,8.962756,7.6662354,0.035499179363250734
9,cambridge-500,17.317793,15.090941,0.035499179363250734
10,cambridge-500,10.985966,9.09178,0.035499179363250734
11,cambridge-500,10.854597,8.946291,0.035499179363250734
12,cambridge-500,9.763414,8.050425,0.035499179363250734
13,cambridge-500,11.5894,10.151261,0.035499179363250734
14,cambridge-500,17.276623,15.748423,0.035499179363250734
15,cambridge-500,16.285301,14.715395,0.035499179363250734
16,cambridge-500,14.625492,12.616748,0.035499179363250734
17,cambridge-500,10.065723,8.295303,0.035499179363250734
18,cambridge-500,9.847827,8.128232,0.035499179363250734
19,cambridge-500,14.015568,12.391301,0.035499179363250734
20,cambridge-500,9.451965,7.7001395,0.035499179363250734
21,cambridge-500,10.107977,8.553773,0.035499179363250734
22,cambridge-500,14.593244,13.221376,0.035499179363250734
23,cambridge-500,10.611425,9.095698,0.035499179363250734
24,cambridge-500,9.944407,8.285917,0.035499179363250734
25,cambridge-500,9.831524,8.406633,0.035499179363250734
26,cambridge-500,12.708078,11.266114,0.035499179363250734
27,cambridge-500,15.520233,13.645962,0.035499179363250734
28,cambridge-500,11.495063,9.900307,0.035499179363250734
29,cambridge-500,10.094067,8.072759,0.035499179363250734
30,cambridge-500,10.539064,8.690313,0.035499179363250734
31,cambridge-500,9.9055195,8.135444,0.035499179363250734
32,cambridge-500,11.444926,8.313737,0.035499179363250734
33,cambridge-500,14.379196,12.329068,0.035499179363250734
34,cambridge-500,13.242489,11.450457,0.035499179363250734
35,cambridge-500,13.436961,11.58087,0.035499179363250734
36,cambridge-500,8.384662,6.5978427,0.035499179363250734
37,cambridge-500,12.726945,11.031897,0.035499179363250734
38,cambridge-500,10.34531,8.645475,0.035499179363250734
39,cambridge-500,10.878999,9.308424,0.035499179363250734
40,cambridge-500,10.499611,8.658722,0.035499179363250734
41,cambridge-500,11.861947,10.169469,0.035499179363250734
42,cambridge-500,12.013071,10.256015,0.035499179363250734
43,cambridge-500,11.25363,9.796952,0.035499179363250734
44,cambridge-500,11.328263,9.512874,0.035499179363250734
45,cambridge-500,10.403595,7.556242,0.035499179363250734
46,cambridge-500,10.834638,8.502666,0.035499179363250734
47,cambridge-500,13.242907,11.565647,0.035499179363250734
48,cambridge-500,10.928907,9.421516,0.035499179363250734
49,cambridge-500,14.364363,12.76604,0.035499179363250734
50,cambridge-500,12.922602,11.239794,0.035499179363250734
51,cambridge-500,8.576128,6.8243694,0.035499179363250734
52,cambridge-500,10.620312,9.037439,0.035499179363250734
53,cambridge-500,10.456237,8.977009,0.035499179363250734
54,cambridge-500,13.710196,11.937475,0.035499179363250734
55,cambridge-500,13.254549,11.082526,0.035499179363250734
56,cambridge-500,16.03856,14.160313,0.035499179363250734
57,cambridge-500,11.652425,10.247949,0.035499179363250734
58,cambridge-500,13.229477,11.598713,0.035499179363250734
59,cambridge-500,10.045269,8.440545,0.035499179363250734
60,cambridge-500,12.299986,10.399916,0.035499179363250734
