Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,cambridge-500,12.087263,10.260692,0.03436639547348022
1,cambridge-500,9.765516,8.025036,0.03436639547348022
2,cambridge-500,10.592839,8.683801,0.03436639547348022
3,cambridge-500,11.177073,9.267096,0.03436639547348022
4,cambridge-500,9.166479,7.271079,0.03436639547348022
5,cambridge-500,9.831468,8.522415,0.03436639547348022
6,cambridge-500,9.040686,7.8802032,0.03436639547348022
7,cambridge-500,12.81813,11.031908,0.03436639547348022
8,cambridge-500,9.328077,7.5914,0.03436639547348022
9,cambridge-500,16.761204,15.057856,0.03436639547348022
10,cambridge-500,10.918249,9.081398,0.03436639547348022
11,cambridge-500,10.958057,8.885197,0.03436639547348022
12,cambridge-500,9.765781,8.082948,0.03436639547348022
13,cambridge-500,11.629589,10.094391,0.03436639547348022
14,cambridge-500,17.465618,15.815105,0.03436639547348022
15,cambridge-500,16.655712,14.715563,0.03436639547348022
16,cambridge-500,14.425089,12.624792,0.03436639547348022
17,cambridge-500,10.042812,8.209575,0.03436639547348022
18,cambridge-500,9.876365,8.114596,0.03436639547348022
19,cambridge-500,14.079508,12.364925,0.03436639547348022
20,cambridge-500,9.406969,7.6936874,0.03436639547348022
21,cambridge-500,10.304224,8.577324,0.03436639547348022
22,cambridge-500,14.511398,13.218529,0.03436639547348022
23,cambridge-500,10.718311,9.038484,0.03436639547348022
24,cambridge-500,9.58322,8.294345,0.03436639547348022
25,cambridge-500,10.261666,8.382538,0.03436639547348022
26,cambridge-500,12.780163,11.184147,0.03436639547348022
27,cambridge-500,15.527913,13.569399,0.03436639547348022
28,cambridge-500,11.918718,9.864346,0.03436639547348022
29,cambridge-500,9.965542,8.160107,0.03436639547348022
30,cambridge-500,10.509159,8.683058,0.03436639547348022
31,cambridge-500,9.512484,8.170206,0.03436639547348022
32,cambridge-500,10.283219,8.321767,0.03436639547348022
33,cambridge-500,14.459188,12.209261,0.03436639547348022
34,cambridge-500,13.224869,11.398169,0.03436639547348022
35,cambridge-500,13.757008,11.578502,0.03436639547348022
36,cambridge-500,8.49151,6.7009916,0.03436639547348022
37,cambridge-500,12.691097,11.020195,0.03436639547348022
38,cambridge-500,10.46317,8.634244,0.03436639547348022
39,cambridge-500,11.004341,9.286923,0.03436639547348022
40,cambridge-500,10.390022,8.697279,0.03436639547348022
41,cambridge-500,11.536043,10.119402,0.03436639547348022
42,cambridge-500,11.939811,10.208852,0.03436639547348022
43,cambridge-500,11.305226,9.665535,0.03436639547348022
44,cambridge-500,11.06773,9.514296,0.03436639547348022
45,cambridge-500,9.691939,7.669891,0.03436639547348022
46,cambridge-500,10.676727,8.470192,0.03436639547348022
47,cambridge-500,13.352943,11.534125,0.03436639547348022
48,cambridge-500,11.082926,9.415099,0.03436639547348022
49,cambridge-500,14.461119,12.7146,0.03436639547348022
50,cambridge-500,12.933876,11.210118,0.03436639547348022
51,cambridge-500,8.930641,6.9133415,0.03436639547348022
52,cambridge-500,10.714544,8.937178,0.03436639547348022
53,cambridge-500,10.312022,8.964659,0.03436639547348022
54,cambridge-500,13.4937315,11.885358,0.03436639547348022
55,cambridge-500,13.053505,11.008871,0.03436639547348022
56,cambridge-500,15.97705,14.058084,0.03436639547348022
57,cambridge-500,12.102568,10.208402,0.03436639547348022
58,cambridge-500,13.332733,11.604964,0.03436639547348022
59,cambridge-500,10.219452,8.402881,0.03436639547348022
60,cambridge-500,12.0906315,10.342118,0.03436639547348022
61,cambridge-500,11.49162,9.401917,0.03436639547348022
62,cambridge-500,10.791389,9.060064,0.03436639547348022
63,cambridge-500,10.59631,8.829197,0.03436639547348022
64,cambridge-500,10.766207,8.557592,0.03436639547348022
65,cambridge-500,12.33564,10.17264,0.03436639547348022
66,cambridge-500,12.022188,10.33791,0.03436639547348022
67,cambridge-500,10.711207,8.94108,0.03436639547348022
68,cambridge-500,10.514831,8.862641,0.03436639547348022
69,cambridge-500,9.446371,7.906156,0.03436639547348022
70,cambridge-500,9.221214,7.6483874,0.03436639547348022
71,cambridge-500,10.10754,8.574603,0.03436639547348022
72,cambridge-500,12.689504,10.968314,0.03436639547348022
73,cambridge-500,9.911468,7.9851685,0.03436639547348022
74,cambridge-500,13.529207,11.670002,0.03436639547348022
75,cambridge-500,10.52185,8.607258,0.03436639547348022
76,cambridge-500,9.334619,7.5735235,0.03436639547348022
77,cambridge-500,9.905592,8.392956,0.03436639547348022
78,cambridge-500,13.652052,12.146281,0.03436639547348022
79,cambridge-500,20.56921,18.985422,0.03436639547348022
80,cambridge-500,16.036726,13.941696,0.03436639547348022
81,cambridge-500,11.374796,9.378849,0.03436639547348022
82,cambridge-500,9.522654,7.8588886,0.03436639547348022
83,cambridge-500,14.268103,12.921141,0.03436639547348022
84,cambridge-500,9.444513,8.212651,0.03436639547348022
85,cambridge-500,11.599364,10.031827,0.03436639547348022
86,cambridge-500,10.050972,8.509491,0.03436639547348022
87,cambridge-500,13.725665,12.05332,0.03436639547348022
88,cambridge-500,8.326982,6.947934,0.03436639547348022
89,cambridge-500,17.329277,15.521679,0.03436639547348022
90,cambridge-500,9.52174,7.743369,0.03436639547348022
91,cambridge-500,11.524189,9.762278,0.03436639547348022
92,cambridge-500,11.228838,9.24773,0.03436639547348022
93,cambridge-500,11.505053,9.836164,0.03436639547348022
94,cambridge-500,13.930233,12.044649,0.03436639547348022
95,cambridge-500,8.866498,7.0699644,0.03436639547348022
96,cambridge-500,10.521779,8.805707,0.03436639547348022
97,cambridge-500,11.992713,10.096656,0.03436639547348022
98,cambridge-500,10.453554,9.03705,0.03436639547348022
99,cambridge-500,11.732437,10.11033,0.03436639547348022
100,cambridge-500,8.579315,7.024521,0.009391472339630128
101,cambridge-500,10.3569145,9.006398,0.009391472339630128
102,cambridge-500,9.744777,7.890664,0.009391472339630128
103,cambridge-500,11.7205515,9.699831,0.009391472339630128
104,cambridge-500,15.405791,13.739234,0.009391472339630128
105,cambridge-500,13.388956,11.607049,0.009391472339630128
106,cambridge-500,10.398,9.024588,0.009391472339630128
107,cambridge-500,9.508522,7.7263117,0.009391472339630128
108,cambridge-500,11.433296,9.636964,0.009391472339630128
109,cambridge-500,11.615349,10.166212,0.009391472339630128
110,cambridge-500,13.236309,11.661375,0.009391472339630128
111,cambridge-500,10.528969,8.536628,0.009391472339630128
112,cambridge-500,10.094488,8.340747,0.009391472339630128
113,cambridge-500,11.748917,9.8328285,0.009391472339630128
114,cambridge-500,10.038894,8.266038,0.009391472339630128
115,cambridge-500,13.09923,11.43865,0.009391472339630128
116,cambridge-500,11.535606,9.69289,0.009391472339630128
117,cambridge-500,9.702458,7.766359,0.009391472339630128
118,cambridge-500,10.909099,9.114444,0.009391472339630128
119,cambridge-500,14.60173,13.25761,0.009391472339630128
120,cambridge-500,15.537001,14.152952,0.009391472339630128
