Epoch,Avg Train Loss,Avg Valid Loss
0,120.549774,401.27313
1,53.406517,62.255898
2,37.426243,50.237167
3,32.668083,28.48498
4,29.083233,8.951367
5,24.285646,7.8057556
6,16.254454,8.03642
7,20.844725,7.346181
8,11.892758,8.802544
9,19.876196,7.9020987
10,37.07869,14.877974
11,9.106762,6.126633
12,14.249221,7.0566688
13,19.916122,110.23747
14,14.628633,22.290398
15,13.437461,16.667032
16,15.530898,6.4516397
17,12.273154,5.2470307
18,13.133533,14.114566
19,15.53317,151.77676
20,18.187672,231.71237
21,11.71878,4.5360684
22,9.369148,6.7384505
23,8.4566,4.725179
24,12.627721,5.7764897
25,9.716164,5.462281
26,6.9233522,4.618745
27,7.370967,5.343921
28,7.771992,4.7194285
29,12.081404,6.7363386
30,12.185775,37.9013
31,8.074701,4.604763
32,6.3476014,6.419421
33,12.808386,4.378985
34,10.88908,5.1482797
35,7.4261994,3.5883675
36,6.288383,3.9886684
37,6.4618096,4.7697763
38,6.3044906,3.9924386
39,11.583545,4.0741396
40,7.322928,12.061092
41,6.454829,3.9070492
42,13.806774,3.912229
43,7.4367566,3.51865
44,8.57081,3.4531903
45,7.019564,11.863069
46,9.623082,3.1547246
47,4.114089,2.8715978
48,5.5651245,3.284361
49,6.468482,2.8509398
50,4.856505,3.0480537
51,4.179605,3.9492717
52,5.361903,3.349846
53,3.509421,2.6435604
54,4.182139,3.2233856
55,5.8793015,14.644272
56,5.0074677,5.942107
57,5.215175,4.5461287
58,4.1372986,2.4421833
59,5.441824,32.903534
60,4.0679483,2.4863493
61,3.3912058,2.662681
62,3.3847067,3.0936608
63,3.185125,2.6451879
64,4.127699,2.8431501
65,3.8928008,2.3154707
66,3.8873887,2.3218837
67,4.770265,2.436832
68,3.329363,2.5915735
69,3.2689767,2.539873
70,3.4949462,2.6612587
71,4.5786753,2.0797293
72,4.5224767,20.988058
73,3.5278444,3.9738133
74,3.9475367,3.2796116
75,3.93516,8.140138
76,4.84922,2.4674122
77,3.4074454,14.055685
78,4.2601933,3.151239
79,3.594802,2.4631522
80,2.7965505,3.4057918
81,3.2251227,2.551305
82,2.9874282,2.2322793
83,5.847384,2.19357
84,2.9849453,2.18178
85,3.0660796,2.2537217
86,3.4337537,2.101385
87,4.2163453,2.078
88,3.2727637,2.721256
89,3.528507,2.3572514
90,3.5582764,14.1275425
91,4.85507,1.9302251
92,3.121112,2.074838
93,3.4989069,2.0410564
94,3.1574948,2.3431492
95,2.9652133,2.0139735
96,4.260237,4.4812965
97,3.889717,1.8129873
98,3.3985476,1.8237793
99,3.5402591,2.2776084
