Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,cambridge-500,3.5669355,3.145249,0.03224061012268067
1,cambridge-500,3.0577207,2.6952643,0.03224061012268067
2,cambridge-500,2.877103,2.3952157,0.03224061012268067
3,cambridge-500,3.200355,2.8204017,0.03224061012268067
4,cambridge-500,2.6581273,2.2322755,0.03224061012268067
5,cambridge-500,3.234709,2.965108,0.03224061012268067
6,cambridge-500,2.5508618,2.1905484,0.03224061012268067
7,cambridge-500,4.0723,3.7043126,0.03224061012268067
8,cambridge-500,2.519014,2.156386,0.03224061012268067
9,cambridge-500,6.669731,6.199875,0.03224061012268067
10,cambridge-500,2.9229817,2.5897608,0.03224061012268067
11,cambridge-500,3.288812,2.8176894,0.03224061012268067
12,cambridge-500,2.512693,2.1505227,0.03224061012268067
13,cambridge-500,3.3819323,3.0330937,0.03224061012268067
14,cambridge-500,6.6836834,6.3061457,0.03224061012268067
15,cambridge-500,6.200925,5.8171797,0.03224061012268067
16,cambridge-500,4.8592505,4.4114714,0.03224061012268067
17,cambridge-500,3.0725212,2.7613268,0.03224061012268067
18,cambridge-500,2.5484734,2.2178264,0.03224061012268067
19,cambridge-500,4.6778398,4.251351,0.03224061012268067
20,cambridge-500,2.2957554,1.9805136,0.03224061012268067
21,cambridge-500,2.9557517,2.5826416,0.03224061012268067
22,cambridge-500,5.139477,4.892932,0.03224061012268067
23,cambridge-500,2.8495164,2.4916413,0.03224061012268067
24,cambridge-500,2.7404594,2.3980231,0.03224061012268067
25,cambridge-500,2.683744,2.233828,0.03224061012268067
26,cambridge-500,3.9728532,3.6117117,0.03224061012268067
27,cambridge-500,5.74131,5.247257,0.03224061012268067
28,cambridge-500,3.4144557,2.970565,0.03224061012268067
29,cambridge-500,2.860835,2.5736978,0.03224061012268067
30,cambridge-500,3.2342505,2.720684,0.03224061012268067
31,cambridge-500,2.7898793,2.398596,0.03224061012268067
32,cambridge-500,4.2201324,3.5913444,0.03224061012268067
33,cambridge-500,5.101878,4.4717045,0.03224061012268067
34,cambridge-500,4.1820765,3.833374,0.03224061012268067
35,cambridge-500,4.2577386,3.8670583,0.03224061012268067
36,cambridge-500,2.2020056,1.8678591,0.03224061012268067
37,cambridge-500,3.9206014,3.6136675,0.03224061012268067
38,cambridge-500,3.3239295,2.8687472,0.03224061012268067
39,cambridge-500,3.7637548,3.4597986,0.03224061012268067
40,cambridge-500,3.077276,2.7006238,0.03224061012268067
41,cambridge-500,3.4765973,3.1467762,0.03224061012268067
42,cambridge-500,3.715374,3.4105716,0.03224061012268067
43,cambridge-500,3.4709396,3.1622996,0.03224061012268067
44,cambridge-500,3.2886167,2.9792814,0.03224061012268067
45,cambridge-500,3.08201,2.3029015,0.03224061012268067
46,cambridge-500,4.480855,3.8759537,0.03224061012268067
47,cambridge-500,4.2152557,3.850003,0.03224061012268067
48,cambridge-500,2.987575,2.7267005,0.03224061012268067
49,cambridge-500,4.878993,4.4349065,0.03224061012268067
50,cambridge-500,4.287692,3.7433066,0.03224061012268067
51,cambridge-500,2.183372,1.8685188,0.03224061012268067
52,cambridge-500,3.7666614,3.3942547,0.03224061012268067
53,cambridge-500,2.9940255,2.71348,0.03224061012268067
54,cambridge-500,4.5029955,4.1161714,0.03224061012268067
55,cambridge-500,4.265614,3.6577795,0.03224061012268067
56,cambridge-500,6.109564,5.7727795,0.03224061012268067
57,cambridge-500,3.41564,3.1583493,0.03224061012268067
