Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,cambridge-500,3.5732613,3.1691992,0.13318021297454835
1,cambridge-500,3.1554146,2.7719736,0.13318021297454835
2,cambridge-500,2.887095,2.41766,0.13318021297454835
3,cambridge-500,3.2641523,2.851488,0.13318021297454835
4,cambridge-500,2.6314697,2.2678504,0.13318021297454835
5,cambridge-500,3.350926,3.056949,0.13318021297454835
6,cambridge-500,2.5507762,2.2350729,0.13318021297454835
7,cambridge-500,4.0587726,3.744703,0.13318021297454835
8,cambridge-500,2.6319861,2.204298,0.13318021297454835
9,cambridge-500,6.60401,6.2424536,0.13318021297454835
10,cambridge-500,3.1045008,2.6118822,0.13318021297454835
11,cambridge-500,3.3666568,2.9004881,0.13318021297454835
12,cambridge-500,2.596311,2.1893318,0.13318021297454835
13,cambridge-500,3.3946319,3.0945754,0.13318021297454835
14,cambridge-500,6.7119684,6.384648,0.13318021297454835
15,cambridge-500,6.1274657,5.8692417,0.13318021297454835
16,cambridge-500,4.968417,4.4805083,0.13318021297454835
17,cambridge-500,3.2489786,2.8556511,0.13318021297454835
18,cambridge-500,2.7082865,2.2606559,0.13318021297454835
19,cambridge-500,4.7468367,4.365776,0.13318021297454835
20,cambridge-500,2.5368223,2.0227094,0.13318021297454835
21,cambridge-500,3.0500095,2.6220262,0.13318021297454835
22,cambridge-500,5.1358595,4.94039,0.13318021297454835
23,cambridge-500,2.951654,2.5257194,0.13318021297454835
24,cambridge-500,2.8001587,2.4559898,0.13318021297454835
25,cambridge-500,2.6385975,2.2617247,0.13318021297454835
26,cambridge-500,3.9786756,3.6537588,0.13318021297454835
27,cambridge-500,5.6805563,5.2857327,0.13318021297454835
28,cambridge-500,3.423358,2.9924731,0.13318021297454835
29,cambridge-500,3.0468147,2.6038396,0.13318021297454835
30,cambridge-500,3.2745414,2.770877,0.13318021297454835
31,cambridge-500,2.8340287,2.474027,0.13318021297454835
32,cambridge-500,4.038229,3.6651514,0.13318021297454835
33,cambridge-500,5.3947396,4.508926,0.13318021297454835
34,cambridge-500,4.349961,3.933423,0.13318021297454835
35,cambridge-500,4.3320413,3.9205964,0.13318021297454835
36,cambridge-500,2.3505569,1.9025987,0.13318021297454835
37,cambridge-500,4.0175896,3.6680834,0.13318021297454835
38,cambridge-500,3.4557467,2.90619,0.13318021297454835
39,cambridge-500,3.8270528,3.5695703,0.13318021297454835
40,cambridge-500,3.1746585,2.7431476,0.13318021297454835
