Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,cambridge-500,3.6556444,3.1499157,0.034396684169769286
1,cambridge-500,3.0836062,2.6688302,0.034396684169769286
2,cambridge-500,2.8759584,2.395679,0.034396684169769286
3,cambridge-500,3.225164,2.8189204,0.034396684169769286
4,cambridge-500,2.7110925,2.2400289,0.034396684169769286
5,cambridge-500,3.2396588,2.951665,0.034396684169769286
6,cambridge-500,2.5658495,2.1821666,0.034396684169769286
7,cambridge-500,3.9844792,3.7120883,0.034396684169769286
8,cambridge-500,2.547066,2.187361,0.034396684169769286
9,cambridge-500,6.672872,6.223785,0.034396684169769286
10,cambridge-500,3.0416965,2.5900922,0.034396684169769286
11,cambridge-500,3.2225733,2.8333201,0.034396684169769286
12,cambridge-500,2.6355155,2.1475072,0.034396684169769286
13,cambridge-500,3.3726048,3.036472,0.034396684169769286
14,cambridge-500,6.513978,6.3027563,0.034396684169769286
15,cambridge-500,6.225759,5.8359046,0.034396684169769286
16,cambridge-500,4.7191734,4.4133725,0.034396684169769286
17,cambridge-500,3.1863647,2.7927482,0.034396684169769286
18,cambridge-500,2.6365664,2.237616,0.034396684169769286
19,cambridge-500,4.7608523,4.2716355,0.034396684169769286
20,cambridge-500,2.4047904,1.99698,0.034396684169769286
21,cambridge-500,2.9625943,2.5874157,0.034396684169769286
22,cambridge-500,5.079424,4.871422,0.034396684169769286
23,cambridge-500,2.8699255,2.5004292,0.034396684169769286
24,cambridge-500,2.6837077,2.4142158,0.034396684169769286
25,cambridge-500,2.5953422,2.2384439,0.034396684169769286
26,cambridge-500,3.9474409,3.623869,0.034396684169769286
27,cambridge-500,6.3588476,5.268842,0.034396684169769286
28,cambridge-500,3.4731538,2.9748044,0.034396684169769286
29,cambridge-500,2.931335,2.5653393,0.034396684169769286
30,cambridge-500,3.2568817,2.7327142,0.034396684169769286
31,cambridge-500,2.6501632,2.4134254,0.034396684169769286
32,cambridge-500,4.126756,3.6243167,0.034396684169769286
33,cambridge-500,4.8411255,4.4784093,0.034396684169769286
34,cambridge-500,4.1960306,3.843897,0.034396684169769286
35,cambridge-500,4.2090425,3.874505,0.034396684169769286
36,cambridge-500,2.4320445,1.864913,0.034396684169769286
37,cambridge-500,3.9598818,3.6465476,0.034396684169769286
38,cambridge-500,3.277364,2.881982,0.034396684169769286
39,cambridge-500,3.7143893,3.3876534,0.034396684169769286
