Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,cambridge-500,9204.409,0.0,0.00840627908706665
1,cambridge-500,4077.129,0.0,0.00840627908706665
2,cambridge-500,7667.6133,0.0,0.00840627908706665
3,cambridge-500,6021.5503,0.0,0.00840627908706665
4,cambridge-500,3471.6978,0.0,0.00840627908706665
5,cambridge-500,12991.1875,0.0,0.00840627908706665
6,cambridge-500,10926.191,0.0,0.00840627908706665
7,cambridge-500,8368.617,0.0,0.00840627908706665
8,cambridge-500,8150.511,0.0,0.00840627908706665
9,cambridge-500,4007.211,0.0,0.00840627908706665
10,cambridge-500,12238.369,0.0,0.00840627908706665
11,cambridge-500,10258.328,0.0,0.00840627908706665
12,cambridge-500,16283.785,0.0,0.00840627908706665
13,cambridge-500,9435.701,0.0,0.00840627908706665
14,cambridge-500,7950.166,0.0,0.00840627908706665
15,cambridge-500,3710.6729,0.0,0.00840627908706665
16,cambridge-500,4023.4211,0.0,0.00840627908706665
17,cambridge-500,8047.337,0.0,0.00840627908706665
18,cambridge-500,4055.9812,0.0,0.00840627908706665
19,cambridge-500,7090.263,0.0,0.00840627908706665
20,cambridge-500,8765.016,0.0,0.00840627908706665
21,cambridge-500,6247.314,0.0,0.00840627908706665
22,cambridge-500,9861.414,0.0,0.00840627908706665
23,cambridge-500,2216.018,0.0,0.00840627908706665
24,cambridge-500,12127.512,0.0,0.00840627908706665
25,cambridge-500,5628.431,0.0,0.00840627908706665
26,cambridge-500,7757.2773,0.0,0.00840627908706665
27,cambridge-500,4006.0105,0.0,0.00840627908706665
28,cambridge-500,2056.6304,0.0,0.00840627908706665
29,cambridge-500,2240.5854,0.0,0.00840627908706665
30,cambridge-500,8657.546,0.0,0.00840627908706665
31,cambridge-500,8334.781,0.0,0.00840627908706665
32,cambridge-500,6001.9365,0.0,0.00840627908706665
33,cambridge-500,6064.308,0.0,0.00840627908706665
34,cambridge-500,8012.4043,0.0,0.00840627908706665
35,cambridge-500,3111.038,0.0,0.00840627908706665
36,cambridge-500,4001.8132,0.0,0.00840627908706665
