Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,cambridge-500,203.8945,0.0,0.007835111618041991
1,cambridge-500,320.17288,0.0,0.007835111618041991
2,cambridge-500,347.021,0.0,0.007835111618041991
3,cambridge-500,204.38316,0.0,0.007835111618041991
4,cambridge-500,142.43309,0.0,0.007835111618041991
5,cambridge-500,881.0332,0.0,0.007835111618041991
6,cambridge-500,429.81104,0.0,0.007835111618041991
7,cambridge-500,184.76312,0.0,0.007835111618041991
8,cambridge-500,106.95505,0.0,0.007835111618041991
9,cambridge-500,277.24216,0.0,0.007835111618041991
10,cambridge-500,331.67236,0.0,0.007835111618041991
11,cambridge-500,149.27255,0.0,0.007835111618041991
12,cambridge-500,173.6435,0.0,0.007835111618041991
13,cambridge-500,256.48038,0.0,0.007835111618041991
14,cambridge-500,288.64447,0.0,0.007835111618041991
15,cambridge-500,252.26404,0.0,0.007835111618041991
16,cambridge-500,228.61569,0.0,0.007835111618041991
17,cambridge-500,261.3614,0.0,0.007835111618041991
18,cambridge-500,184.15736,0.0,0.007835111618041991
19,cambridge-500,263.39218,0.0,0.007835111618041991
20,cambridge-500,153.0403,0.0,0.007835111618041991
21,cambridge-500,186.71658,0.0,0.007835111618041991
22,cambridge-500,263.54532,0.0,0.007835111618041991
23,cambridge-500,204.35837,0.0,0.007835111618041991
24,cambridge-500,361.51926,0.0,0.007835111618041991
25,cambridge-500,103.91589,0.0,0.007835111618041991
26,cambridge-500,243.87263,0.0,0.007835111618041991
27,cambridge-500,282.5554,0.0,0.007835111618041991
28,cambridge-500,188.37988,0.0,0.007835111618041991
29,cambridge-500,248.99442,0.0,0.007835111618041991
30,cambridge-500,288.4368,0.0,0.007835111618041991
31,cambridge-500,417.9085,0.0,0.007835111618041991
32,cambridge-500,224.64914,0.0,0.007835111618041991
33,cambridge-500,331.05902,0.0,0.007835111618041991
34,cambridge-500,313.649,0.0,0.007835111618041991
35,cambridge-500,183.6547,0.0,0.007835111618041991
36,cambridge-500,131.13185,0.0,0.007835111618041991
37,cambridge-500,380.20435,0.0,0.007835111618041991
38,cambridge-500,129.81676,0.0,0.007835111618041991
39,cambridge-500,233.55792,0.0,0.007835111618041991
40,cambridge-500,225.84134,0.0,0.007835111618041991
41,cambridge-500,285.29095,0.0,0.007835111618041991
42,cambridge-500,316.2575,0.0,0.007835111618041991
43,cambridge-500,627.7756,0.0,0.007835111618041991
44,cambridge-500,658.0022,0.0,0.007835111618041991
45,cambridge-500,337.7917,0.0,0.007835111618041991
46,cambridge-500,215.22144,0.0,0.007835111618041991
47,cambridge-500,179.43019,0.0,0.007835111618041991
48,cambridge-500,207.17334,0.0,0.007835111618041991
49,cambridge-500,183.74837,0.0,0.007835111618041991
50,cambridge-500,244.54843,0.0,0.007835111618041991
51,cambridge-500,175.18364,0.0,0.007835111618041991
52,cambridge-500,784.914,0.0,0.007835111618041991
53,cambridge-500,683.0071,0.0,0.007835111618041991
54,cambridge-500,242.14423,0.0,0.007835111618041991
55,cambridge-500,213.69382,0.0,0.007835111618041991
56,cambridge-500,536.61194,0.0,0.007835111618041991
57,cambridge-500,314.03436,0.0,0.007835111618041991
58,cambridge-500,258.65692,0.0,0.007835111618041991
59,cambridge-500,115.100105,0.0,0.007835111618041991
60,cambridge-500,220.73892,0.0,0.007835111618041991
61,cambridge-500,115.660904,0.0,0.007835111618041991
62,cambridge-500,253.16388,0.0,0.007835111618041991
63,cambridge-500,148.80533,0.0,0.007835111618041991
64,cambridge-500,115.84819,0.0,0.007835111618041991
65,cambridge-500,152.7925,0.0,0.007835111618041991
66,cambridge-500,507.93494,0.0,0.007835111618041991
67,cambridge-500,136.93991,0.0,0.007835111618041991
68,cambridge-500,158.62506,0.0,0.007835111618041991
69,cambridge-500,210.84015,0.0,0.007835111618041991
70,cambridge-500,244.0484,0.0,0.007835111618041991
71,cambridge-500,442.2378,0.0,0.007835111618041991
72,cambridge-500,380.78094,0.0,0.007835111618041991
73,cambridge-500,94.58483,0.0,0.007835111618041991
74,cambridge-500,202.41998,0.0,0.007835111618041991
75,cambridge-500,113.56774,0.0,0.007835111618041991
76,cambridge-500,137.08347,0.0,0.007835111618041991
77,cambridge-500,268.30975,0.0,0.007835111618041991
78,cambridge-500,217.93542,0.0,0.007835111618041991
79,cambridge-500,366.4243,0.0,0.007835111618041991
80,cambridge-500,245.73624,0.0,0.007835111618041991
81,cambridge-500,633.84985,0.0,0.007835111618041991
82,cambridge-500,208.67647,0.0,0.007835111618041991
83,cambridge-500,264.24173,0.0,0.007835111618041991
84,cambridge-500,759.391,0.0,0.007835111618041991
85,cambridge-500,211.475,0.0,0.007835111618041991
86,cambridge-500,498.11816,0.0,0.007835111618041991
87,cambridge-500,203.59103,0.0,0.007835111618041991
88,cambridge-500,231.37689,0.0,0.007835111618041991
89,cambridge-500,393.88217,0.0,0.007835111618041991
90,cambridge-500,140.33142,0.0,0.007835111618041991
91,cambridge-500,187.27148,0.0,0.007835111618041991
92,cambridge-500,125.73486,0.0,0.007835111618041991
93,cambridge-500,889.1336,0.0,0.007835111618041991
94,cambridge-500,286.01544,0.0,0.007835111618041991
95,cambridge-500,102.064674,0.0,0.007835111618041991
96,cambridge-500,185.50525,0.0,0.007835111618041991
97,cambridge-500,300.75842,0.0,0.007835111618041991
98,cambridge-500,926.8667,0.0,0.007835111618041991
99,cambridge-500,181.15549,0.0,0.007835111618041991
100,cambridge-500,154.03908,0.0,0.007302913665771484
101,cambridge-500,414.16992,0.0,0.007302913665771484
102,cambridge-500,104.353004,0.0,0.007302913665771484
103,cambridge-500,250.74121,0.0,0.007302913665771484
104,cambridge-500,230.24599,0.0,0.007302913665771484
105,cambridge-500,184.95659,0.0,0.007302913665771484
106,cambridge-500,536.472,0.0,0.007302913665771484
107,cambridge-500,244.9307,0.0,0.007302913665771484
108,cambridge-500,207.63837,0.0,0.007302913665771484
109,cambridge-500,476.9677,0.0,0.007302913665771484
110,cambridge-500,306.59808,0.0,0.007302913665771484
111,cambridge-500,289.53503,0.0,0.007302913665771484
112,cambridge-500,190.57256,0.0,0.007302913665771484
113,cambridge-500,226.35257,0.0,0.007302913665771484
114,cambridge-500,202.5604,0.0,0.007302913665771484
115,cambridge-500,231.50212,0.0,0.007302913665771484
116,cambridge-500,192.75476,0.0,0.007302913665771484
117,cambridge-500,141.24988,0.0,0.007302913665771484
118,cambridge-500,190.86063,0.0,0.007302913665771484
119,cambridge-500,305.5857,0.0,0.007302913665771484
120,cambridge-500,300.30276,0.0,0.007302913665771484
121,cambridge-500,177.71667,0.0,0.007302913665771484
122,cambridge-500,302.96228,0.0,0.007302913665771484
123,cambridge-500,663.5022,0.0,0.007302913665771484
124,cambridge-500,178.84904,0.0,0.007302913665771484
125,cambridge-500,180.79378,0.0,0.007302913665771484
126,cambridge-500,161.0649,0.0,0.007302913665771484
127,cambridge-500,124.18634,0.0,0.007302913665771484
128,cambridge-500,287.63028,0.0,0.007302913665771484
129,cambridge-500,229.96997,0.0,0.007302913665771484
130,cambridge-500,317.27826,0.0,0.007302913665771484
131,cambridge-500,565.4495,0.0,0.007302913665771484
132,cambridge-500,520.80347,0.0,0.007302913665771484
133,cambridge-500,121.75106,0.0,0.007302913665771484
134,cambridge-500,179.98045,0.0,0.007302913665771484
135,cambridge-500,612.219,0.0,0.007302913665771484
136,cambridge-500,257.05652,0.0,0.007302913665771484
137,cambridge-500,492.70538,0.0,0.007302913665771484
138,cambridge-500,196.18718,0.0,0.007302913665771484
139,cambridge-500,213.14351,0.0,0.007302913665771484
140,cambridge-500,231.26028,0.0,0.007302913665771484
141,cambridge-500,228.2912,0.0,0.007302913665771484
142,cambridge-500,208.19453,0.0,0.007302913665771484
143,cambridge-500,258.0826,0.0,0.007302913665771484
144,cambridge-500,185.3505,0.0,0.007302913665771484
145,cambridge-500,182.33597,0.0,0.007302913665771484
146,cambridge-500,210.21068,0.0,0.007302913665771484
147,cambridge-500,416.0089,0.0,0.007302913665771484
148,cambridge-500,151.41937,0.0,0.007302913665771484
149,cambridge-500,239.63354,0.0,0.007302913665771484
150,cambridge-500,349.0152,0.0,0.007302913665771484
151,cambridge-500,272.6194,0.0,0.007302913665771484
152,cambridge-500,133.388,0.0,0.007302913665771484
153,cambridge-500,349.75415,0.0,0.007302913665771484
154,cambridge-500,366.95798,0.0,0.007302913665771484
155,cambridge-500,406.5916,0.0,0.007302913665771484
156,cambridge-500,212.0744,0.0,0.007302913665771484
157,cambridge-500,231.35747,0.0,0.007302913665771484
158,cambridge-500,313.19952,0.0,0.007302913665771484
159,cambridge-500,662.39417,0.0,0.007302913665771484
160,cambridge-500,232.0462,0.0,0.007302913665771484
161,cambridge-500,181.48065,0.0,0.007302913665771484
162,cambridge-500,321.19244,0.0,0.007302913665771484
163,cambridge-500,299.58054,0.0,0.007302913665771484
164,cambridge-500,212.2747,0.0,0.007302913665771484
165,cambridge-500,350.63358,0.0,0.007302913665771484
166,cambridge-500,534.2074,0.0,0.007302913665771484
167,cambridge-500,408.609,0.0,0.007302913665771484
168,cambridge-500,484.14978,0.0,0.007302913665771484
169,cambridge-500,367.4129,0.0,0.007302913665771484
170,cambridge-500,279.00623,0.0,0.007302913665771484
171,cambridge-500,92.10144,0.0,0.007302913665771484
172,cambridge-500,522.9716,0.0,0.007302913665771484
173,cambridge-500,283.5749,0.0,0.007302913665771484
174,cambridge-500,238.23782,0.0,0.007302913665771484
175,cambridge-500,251.86069,0.0,0.007302913665771484
176,cambridge-500,535.76746,0.0,0.007302913665771484
177,cambridge-500,220.11731,0.0,0.007302913665771484
178,cambridge-500,347.2064,0.0,0.007302913665771484
179,cambridge-500,209.00104,0.0,0.007302913665771484
180,cambridge-500,146.69661,0.0,0.007302913665771484
181,cambridge-500,545.4029,0.0,0.007302913665771484
182,cambridge-500,352.61008,0.0,0.007302913665771484
183,cambridge-500,241.35788,0.0,0.007302913665771484
184,cambridge-500,213.37103,0.0,0.007302913665771484
185,cambridge-500,146.6437,0.0,0.007302913665771484
186,cambridge-500,472.8951,0.0,0.007302913665771484
187,cambridge-500,379.082,0.0,0.007302913665771484
188,cambridge-500,156.46597,0.0,0.007302913665771484
189,cambridge-500,273.69287,0.0,0.007302913665771484
190,cambridge-500,111.70741,0.0,0.007302913665771484
191,cambridge-500,175.96434,0.0,0.007302913665771484
192,cambridge-500,250.3298,0.0,0.007302913665771484
193,cambridge-500,436.17465,0.0,0.007302913665771484
194,cambridge-500,178.66135,0.0,0.007302913665771484
195,cambridge-500,395.2288,0.0,0.007302913665771484
196,cambridge-500,183.63927,0.0,0.007302913665771484
197,cambridge-500,173.10071,0.0,0.007302913665771484
198,cambridge-500,133.15575,0.0,0.007302913665771484
199,cambridge-500,285.6725,0.0,0.007302913665771484
200,cambridge-500,328.6585,0.0,0.007242119312286377
201,cambridge-500,230.8754,0.0,0.007242119312286377
202,cambridge-500,135.90308,0.0,0.007242119312286377
203,cambridge-500,181.0359,0.0,0.007242119312286377
204,cambridge-500,221.79388,0.0,0.007242119312286377
205,cambridge-500,161.11221,0.0,0.007242119312286377
206,cambridge-500,169.71385,0.0,0.007242119312286377
207,cambridge-500,142.71594,0.0,0.007242119312286377
208,cambridge-500,163.99426,0.0,0.007242119312286377
209,cambridge-500,333.27032,0.0,0.007242119312286377
210,cambridge-500,179.15584,0.0,0.007242119312286377
211,cambridge-500,453.47153,0.0,0.007242119312286377
212,cambridge-500,266.77484,0.0,0.007242119312286377
213,cambridge-500,452.08752,0.0,0.007242119312286377
214,cambridge-500,250.51305,0.0,0.007242119312286377
215,cambridge-500,650.2681,0.0,0.007242119312286377
216,cambridge-500,197.28139,0.0,0.007242119312286377
217,cambridge-500,164.86638,0.0,0.007242119312286377
218,cambridge-500,307.56555,0.0,0.007242119312286377
219,cambridge-500,164.04341,0.0,0.007242119312286377
220,cambridge-500,167.9825,0.0,0.007242119312286377
221,cambridge-500,653.1179,0.0,0.007242119312286377
222,cambridge-500,95.73693,0.0,0.007242119312286377
223,cambridge-500,98.19707,0.0,0.007242119312286377
224,cambridge-500,140.23901,0.0,0.007242119312286377
225,cambridge-500,137.8892,0.0,0.007242119312286377
226,cambridge-500,234.76303,0.0,0.007242119312286377
227,cambridge-500,264.1182,0.0,0.007242119312286377
228,cambridge-500,395.01605,0.0,0.007242119312286377
229,cambridge-500,322.65854,0.0,0.007242119312286377
230,cambridge-500,131.78001,0.0,0.007242119312286377
231,cambridge-500,121.980804,0.0,0.007242119312286377
232,cambridge-500,172.20192,0.0,0.007242119312286377
233,cambridge-500,227.68146,0.0,0.007242119312286377
234,cambridge-500,233.76884,0.0,0.007242119312286377
235,cambridge-500,221.52887,0.0,0.007242119312286377
236,cambridge-500,256.80096,0.0,0.007242119312286377
237,cambridge-500,160.58199,0.0,0.007242119312286377
238,cambridge-500,305.42007,0.0,0.007242119312286377
239,cambridge-500,216.77975,0.0,0.007242119312286377
240,cambridge-500,207.57361,0.0,0.007242119312286377
241,cambridge-500,114.0842,0.0,0.007242119312286377
242,cambridge-500,347.04953,0.0,0.007242119312286377
