Epoch,Avg Train Loss,Avg Valid Loss
0,685.88916,51.61436
1,52.906876,14.842839
2,52.842686,14.572016
3,36.091244,22.754322
4,48.995815,11.335311
5,30.366114,11.3911495
6,22.737192,11.57564
7,29.10185,10.309115
8,41.740353,10.77487
9,31.974556,10.608145
10,23.665045,10.654651
11,18.008368,9.076931
12,17.630384,9.646379
13,20.756933,9.445489
14,17.06742,9.6796465
15,21.039593,8.671603
16,46.02246,9.049459
17,17.737957,8.927331
18,17.109095,8.393732
19,15.355861,8.609593
20,18.551298,7.677353
21,22.661753,8.563973
22,14.7922945,8.23109
23,18.32943,7.6534967
24,15.545458,8.291821
25,19.213768,7.2568116
26,27.542377,7.5777655
27,16.685698,7.0635805
28,15.217481,7.8820014
29,14.183408,7.8708124
30,13.4034,6.79835
31,13.42102,7.141982
32,13.1855955,6.8215933
33,12.617246,7.556398
34,11.997764,6.8969636
35,12.391369,6.5668983
36,12.200404,6.478408
37,11.767893,6.403478
38,11.66819,7.3718348
39,11.6461525,6.4434295
40,12.040991,5.8847475
41,11.157104,6.201507
42,11.013598,5.871868
43,10.024685,6.689719
44,10.748543,6.0649924
45,9.800755,5.439646
46,10.600182,5.346327
47,14.608955,9.444265
48,9.562949,5.3675685
49,13.4047365,5.6921425
50,10.541627,6.600234
51,9.406888,5.2629123
52,9.508135,5.1417074
53,9.192822,5.613016
54,9.939191,5.0841684
55,12.719346,6.851995
56,8.986815,4.7774687
57,11.314491,4.823132
58,8.784529,4.8374176
59,9.186882,4.5074463
60,9.149448,5.145751
61,8.374106,5.0824633
62,8.085796,4.7563353
63,8.229601,4.8587313
64,7.5292635,4.2850266
65,7.674826,5.241779
66,7.6109014,4.3769703
67,15.110286,4.387967
68,6.8845563,3.645082
69,6.6326733,4.57887
70,8.764573,5.4997826
71,7.016176,3.564043
72,6.5757103,3.7200272
73,449.18124,9.622904
74,8.108496,4.820426
75,6.238724,4.1358566
76,6.2256703,3.7508454
77,6.463125,4.1861606
78,6.1305895,3.1996734
79,6.037576,4.854529
80,5.4279385,3.6689866
81,5.2156224,3.2430477
82,5.2801795,3.174637
83,5.2159033,3.2604866
84,7.7890453,2.855619
85,5.273385,3.25657
86,4.7449474,2.7521844
87,5.7569056,3.6098304
88,12.420444,3.0506368
89,5.3546724,3.22789
90,5.307582,4.1650667
91,4.8010206,3.4201965
92,5.3187675,2.940295
93,4.332869,2.449138
94,4.2498436,2.5961816
95,4.027692,2.739113
96,4.1343136,2.786551
97,5.16117,2.482141
98,3.9680848,2.58021
99,3.5378497,2.842507
