Epoch,Avg Train Loss,Avg Valid Loss
0,790.9607,46.020294
1,42.86761,25.35759
2,30.703098,29.446306
3,23.933723,7.7105007
4,15.521395,7.4227376
5,7.782126,6.3769526
6,8.972314,5.9709992
7,8.614823,4.6011434
8,7.46221,4.138084
9,6.8491945,4.0495634
10,6.420603,4.6793456
11,6.2913327,3.3717813
12,5.566942,3.0494254
13,5.352919,3.043102
14,5.0998907,5.585273
15,4.9067183,2.6074095
16,13.654172,2.8938892
17,4.90291,2.5478616
18,5.143875,2.0541775
19,3.4923124,2.299525
20,3.4439588,2.5036304
21,3.26569,1.950355
22,3.4063559,1.9693156
23,3.0712545,2.0983284
24,2.9062085,1.9433823
25,2.8474102,2.5278568
26,2.9591792,1.6330669
27,2.7050333,1.9638687
28,2.7072177,1.8165387
29,2.4260614,1.8071119
30,2.5274184,1.4417427
31,2.3503497,1.5224295
32,2.2761831,1.8332145
33,2.1684546,2.1651356
34,2.180855,1.2752001
35,2.1609337,1.4030174
36,2.070861,1.351101
37,2.0671415,1.7881329
38,1.986697,1.270854
39,1.9811523,1.6180578
40,1.876885,1.180662
41,1.7064108,1.4521252
42,1.7051431,1.40293
43,1.935549,1.1108451
44,1.691149,1.2497237
45,1.6409048,2.0682185
46,1.6661822,0.917691
47,1.6650274,1.7240208
48,1.5484583,1.0446621
49,1.5178488,0.8070079
50,1.401689,1.1108696
51,1.4294364,1.0123695
52,1.4520708,0.9618285
53,1.2806389,0.7256516
54,1.2842684,0.98300195
55,1.3375971,0.75766546
56,1.2897912,0.91061807
57,1.3328053,0.9384859
58,1.1547526,0.92297745
59,1.2281817,0.7727381
60,1.2157224,0.7521692
61,1.4023118,0.7207518
62,1.1584368,0.67168665
63,1.1099187,0.6873303
64,1.1140349,0.8617265
65,1.0756096,0.81530076
66,1.1070156,0.791212
67,1.0581183,0.86122584
68,1.0464684,0.81114787
69,1.0258209,0.70355296
70,1.0532167,0.6663682
71,49.466255,3.290374
72,2.2704973,0.95421165
73,1.4421726,0.90707797
74,1.3452241,1.1490436
75,1.3084402,0.9910585
76,1.2267729,1.0039209
77,1.1417873,0.8031331
78,1.0514859,0.77138
79,1.1358525,0.70316565
80,1.1797963,0.8790964
81,0.96191305,0.8239411
82,1.124975,0.5471408
83,0.88839835,0.6549331
84,0.9305632,1.1205537
85,0.9240653,0.5329563
86,0.8552522,0.6572029
87,1.0193539,0.62384015
88,0.7774019,0.48258168
89,0.77068585,0.65864736
90,0.7534776,0.5867844
91,0.74075836,0.6343896
92,0.70089257,0.42773366
93,0.7121155,0.51970524
94,0.7631118,0.6348742
95,0.74817705,0.5961234
96,0.6781348,0.522168
97,0.6654776,0.47562397
98,0.6895683,0.75469124
99,0.7274079,0.5714576
