Epoch,Avg Train Loss,Avg Valid Loss
0,185.35394,52.359722
1,26.595556,17.754425
2,15.6212,9.176695
3,11.223926,7.6641836
4,10.650296,7.531582
5,6.866508,7.679146
6,7.1657796,6.0205846
7,6.904958,4.524929
8,5.436103,4.90745
9,5.5094886,4.0180874
10,4.8081036,3.8041177
11,5.085928,3.672467
12,4.481099,3.9816937
13,5.2174416,2.9586937
14,4.289212,3.1657023
15,4.2242923,3.4412751
16,4.078244,3.718565
17,3.8222125,3.5653205
18,4.0996056,3.0093873
19,4.859837,4.3299503
20,3.8041694,4.6316314
21,3.462116,4.8102884
22,3.819083,3.0936177
23,4.1642594,2.8367078
24,3.726401,3.8124073
25,3.4655924,2.1765924
26,3.3306272,2.4587414
27,3.329147,3.245751
28,3.8706448,3.7676253
29,3.5914125,4.6123495
30,3.0848334,2.7668104
31,3.298819,2.4297915
32,3.1277912,2.1447804
33,2.8196576,2.1209083
34,3.0164359,3.8257136
35,2.857548,2.08802
36,2.730531,2.2485175
37,2.7503684,2.1178157
38,2.6252813,2.8942347
39,2.908615,1.8436639
40,2.5138445,2.079933
41,2.6048007,2.1231759
42,2.4444647,1.4214237
43,2.465376,1.8301523
44,2.420039,1.949819
45,2.37844,1.9181226
46,2.21815,2.4528298
47,2.0829089,2.097376
48,2.3517487,1.5274308
49,2.0835912,1.6348524
50,1.9994429,1.7017906
51,2.0509205,1.7507067
52,2.298951,1.7184086
53,2.0911117,1.5517161
54,1.9289384,2.1521907
55,1.9254212,1.6659635
56,1.8544902,1.1716859
57,1.585933,2.0002975
58,1.8277156,1.1556222
59,1.6808342,1.0776086
60,1.9501251,1.0904555
61,1.9774966,1.4746873
62,1.9278951,2.2290614
63,1.6878415,2.4064279
64,1.7643405,1.2909774
65,1.9201305,1.3475406
66,1.5784317,1.110299
67,1.5886679,1.090606
68,1.6186925,0.9921169
69,1.4483707,1.3500416
70,1.4566575,1.3830104
71,1.4356155,1.031949
72,1.5525204,1.3499801
73,1.6869917,1.4359806
74,1.3839155,1.0717291
75,1.3820565,1.1224648
76,1.3985249,1.1683605
77,1.4222828,1.3691819
78,1.43403,1.2831448
79,1.4264907,1.6505003
80,1.2797654,0.9322116
81,1.3248129,1.204746
82,1.5142232,0.972299
83,1.2310379,4.0895777
84,1.3129456,1.197048
85,1.7562114,1.8136545
86,1.2793635,1.4107124
87,1.2586281,0.90462434
88,1.2852365,1.3252162
89,1.1395471,0.82127917
90,1.1613445,0.7662038
91,1.263267,1.1607766
92,1.2852424,1.347615
93,1.2113351,1.1300652
94,1.1628481,1.141367
95,1.323672,1.001263
96,1.1051601,1.2435563
97,1.1626085,0.8063024
98,1.1931294,0.94410706
99,1.3709972,0.8179647
