Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,london-500,5.5882196,3.5719934,0.2039734196662903
1,london-500,5.5906105,3.5826058,0.2039734196662903
2,london-500,4.746834,2.2159877,0.2039734196662903
3,london-500,5.1890073,2.7316,0.2039734196662903
4,london-500,8.311516,3.7254229,0.2039734196662903
5,london-500,5.4166408,3.118691,0.2039734196662903
6,london-500,3.9879422,2.0645196,0.2039734196662903
7,london-500,4.495168,2.307227,0.2039734196662903
8,london-500,5.518625,4.1886983,0.2039734196662903
9,london-500,4.0571723,2.501279,0.2039734196662903
10,london-500,4.473167,2.5864167,0.2039734196662903
11,london-500,4.8342924,2.1394508,0.2039734196662903
12,london-500,4.3327293,2.1235237,0.2039734196662903
13,london-500,4.6141753,2.7689295,0.2039734196662903
14,london-500,4.1744947,2.0592875,0.2039734196662903
15,london-500,4.6299043,2.7297232,0.2039734196662903
16,london-500,5.452227,3.0110383,0.2039734196662903
17,london-500,8.381325,5.634737,0.2039734196662903
18,london-500,5.106501,2.4929092,0.2039734196662903
19,london-500,5.373771,4.052986,0.2039734196662903
20,london-500,4.9342284,2.5554514,0.2039734196662903
21,london-500,5.315229,3.2600412,0.2039734196662903
22,london-500,6.2840853,3.4817984,0.2039734196662903
23,london-500,11.8692465,7.546089,0.2039734196662903
24,london-500,5.6972895,4.017598,0.2039734196662903
25,london-500,9.654915,3.6750598,0.2039734196662903
26,london-500,4.1694884,2.6202908,0.2039734196662903
27,london-500,6.371686,4.0741944,0.2039734196662903
28,london-500,9.030966,6.7876673,0.2039734196662903
29,london-500,6.363678,3.942007,0.2039734196662903
30,london-500,5.1935024,2.4977596,0.2039734196662903
31,london-500,7.676992,4.88303,0.2039734196662903
32,london-500,4.9055896,2.7325141,0.2039734196662903
33,london-500,4.5087976,2.4728591,0.2039734196662903
34,london-500,11.476466,8.359792,0.2039734196662903
35,london-500,4.2835703,2.791699,0.2039734196662903
36,london-500,3.7823389,2.3632169,0.2039734196662903
37,london-500,5.6631613,4.315596,0.2039734196662903
38,london-500,6.4529033,3.8034768,0.2039734196662903
39,london-500,6.9188294,4.1354394,0.2039734196662903
40,london-500,4.3005733,2.5944896,0.2039734196662903
41,london-500,5.2101135,2.7170482,0.2039734196662903
42,london-500,5.538316,2.8816571,0.2039734196662903
43,london-500,5.996459,3.9179626,0.2039734196662903
44,london-500,5.6483297,3.6409326,0.2039734196662903
45,london-500,4.326419,2.868528,0.2039734196662903
46,london-500,5.2814126,3.1399236,0.2039734196662903
47,london-500,6.329817,3.3530588,0.2039734196662903
48,london-500,5.7459626,2.7802563,0.2039734196662903
49,london-500,4.192781,2.4194307,0.2039734196662903
50,london-500,4.9084406,3.2496672,0.2039734196662903
51,london-500,4.4289317,2.6611128,0.2039734196662903
52,london-500,4.2544274,1.9880552,0.2039734196662903
53,london-500,9.906306,4.9732294,0.2039734196662903
54,london-500,5.0987525,2.1337972,0.2039734196662903
55,london-500,6.049635,3.6148276,0.2039734196662903
56,london-500,4.6065297,3.5549092,0.2039734196662903
57,london-500,4.033859,2.3889546,0.2039734196662903
58,london-500,4.6623907,2.7166028,0.2039734196662903
59,london-500,4.1760345,2.7976956,0.2039734196662903
60,london-500,6.4471397,3.3804379,0.2039734196662903
61,london-500,9.934586,3.9331226,0.2039734196662903
62,london-500,5.0422997,3.513825,0.2039734196662903
63,london-500,6.0906677,3.2471523,0.2039734196662903
64,london-500,4.3511477,3.0602705,0.2039734196662903
65,london-500,4.3640666,2.1630476,0.2039734196662903
66,london-500,4.3831177,3.0003178,0.2039734196662903
67,london-500,6.0414386,3.0872786,0.2039734196662903
68,london-500,4.7518153,2.303162,0.2039734196662903
69,london-500,4.509291,2.2496028,0.2039734196662903
70,london-500,7.312908,4.1756716,0.2039734196662903
71,london-500,6.107406,2.7985396,0.2039734196662903
72,london-500,4.33157,2.5025895,0.2039734196662903
73,london-500,5.6020904,2.8512812,0.2039734196662903
74,london-500,6.9875007,5.1301594,0.2039734196662903
75,london-500,7.666313,5.9399757,0.2039734196662903
76,london-500,4.7364645,2.482681,0.2039734196662903
77,london-500,12.05455,6.8604765,0.2039734196662903
78,london-500,12.258068,9.66728,0.2039734196662903
79,london-500,4.2393994,2.3486578,0.2039734196662903
80,london-500,5.8850384,2.9562082,0.2039734196662903
81,london-500,4.919112,2.9694161,0.2039734196662903
82,london-500,5.683248,2.3699665,0.2039734196662903
83,london-500,10.38463,3.5688982,0.2039734196662903
84,london-500,4.285808,2.958417,0.2039734196662903
85,london-500,6.8733068,5.243871,0.2039734196662903
86,london-500,4.134222,2.0330663,0.2039734196662903
87,london-500,4.780469,2.6094046,0.2039734196662903
88,london-500,6.393239,3.472845,0.2039734196662903
89,london-500,3.6846347,2.3587255,0.2039734196662903
90,london-500,4.370858,2.3310542,0.2039734196662903
91,london-500,3.6693172,2.3680956,0.2039734196662903
92,london-500,4.7422943,3.3683677,0.2039734196662903
93,london-500,3.7355785,2.1670654,0.2039734196662903
94,london-500,5.2897396,3.3047743,0.2039734196662903
95,london-500,6.1340504,3.501651,0.2039734196662903
96,london-500,5.422364,3.983211,0.2039734196662903
97,london-500,4.521631,2.3454041,0.2039734196662903
98,london-500,7.0171347,3.7828865,0.2039734196662903
99,london-500,4.2568707,2.6295307,0.2039734196662903
