Test Instance,Graph,Flow Cost,Dual Cost,Time (sec),,
0,london-500,4.648923,4.136817,0.142668988704681,,
1,london-500,4.65233,4.240372,0.142668988704681,,
2,london-500,3.5336561,2.8566623,0.142668988704681,,
3,london-500,3.9286985,3.2459083,0.142668988704681,,
4,london-500,6.6154895,5.9568305,0.142668988704681,,
5,london-500,4.296605,3.7223525,0.142668988704681,,
6,london-500,2.9063218,2.3758492,0.142668988704681,,
7,london-500,3.1883588,2.599812,0.142668988704681,,
8,london-500,4.917059,4.43302,0.142668988704681,,0.038450368642807
9,london-500,3.2472987,2.8326151,0.142668988704681,,
10,london-500,3.4990673,3.0148392,0.142668988704681,,
11,london-500,3.3179946,2.7978804,0.142668988704681,,
12,london-500,3.7664866,2.823596,0.142668988704681,,
13,london-500,3.873005,3.0835023,0.142668988704681,,
14,london-500,3.2462287,2.7442453,0.142668988704681,,
15,london-500,3.5702744,3.0482507,0.142668988704681,,
16,london-500,4.0588865,3.3524134,0.142668988704681,,
17,london-500,7.3114796,6.7075834,0.142668988704681,,
18,london-500,3.5572088,2.771762,0.142668988704681,,
19,london-500,4.7369003,4.3504257,0.142668988704681,,
20,london-500,3.394686,2.9234328,0.142668988704681,,
21,london-500,4.5902767,3.9065268,0.142668988704681,,
22,london-500,4.9299912,4.1182942,0.142668988704681,,
23,london-500,10.171094,9.211698,0.142668988704681,,
24,london-500,4.9139404,4.3453403,0.142668988704681,,
25,london-500,7.4588857,6.966358,0.142668988704681,,
26,london-500,3.7556129,3.1936102,0.142668988704681,,
27,london-500,5.1635084,4.500189,0.142668988704681,,
28,london-500,8.23699,7.6118774,0.142668988704681,,
29,london-500,5.158292,4.6977153,0.142668988704681,,
30,london-500,4.3678055,3.8199234,0.142668988704681,,
31,london-500,6.662814,5.7326136,0.142668988704681,,
32,london-500,4.3153048,3.6210928,0.142668988704681,,
33,london-500,3.513157,3.0610497,0.142668988704681,,
34,london-500,10.629781,9.797973,0.142668988704681,,
35,london-500,3.4705868,3.049058,0.142668988704681,,
36,london-500,3.1916232,2.684302,0.142668988704681,,
37,london-500,5.0347333,4.56894,0.142668988704681,,
38,london-500,5.2724257,4.5083327,0.142668988704681,,
39,london-500,5.431504,4.5512977,0.142668988704681,,
40,london-500,3.6503618,3.0869727,0.142668988704681,,
41,london-500,3.8554838,3.251514,0.142668988704681,,
42,london-500,4.0474987,3.2228682,0.142668988704681,,
43,london-500,4.94543,4.2684336,0.142668988704681,,
44,london-500,4.892016,4.081779,0.142668988704681,,
45,london-500,3.8527336,3.2598765,0.142668988704681,,
46,london-500,4.7559476,3.6519814,0.142668988704681,,
47,london-500,5.0841837,4.377797,0.142668988704681,,
48,london-500,4.0557537,3.643397,0.142668988704681,,
49,london-500,3.367785,2.8520644,0.142668988704681,,
50,london-500,4.230501,3.5391169,0.142668988704681,,
51,london-500,3.6603658,3.1994748,0.142668988704681,,
52,london-500,3.04395,2.54702,0.142668988704681,,
53,london-500,7.98489,7.5052767,0.142668988704681,,
54,london-500,3.4152715,2.9089022,0.142668988704681,,
55,london-500,5.0349603,4.5225167,0.142668988704681,,
56,london-500,4.1764245,3.762436,0.142668988704681,,
57,london-500,3.3248553,2.8068814,0.142668988704681,,
58,london-500,3.7255342,3.1984947,0.142668988704681,,
59,london-500,3.5675912,3.1951294,0.142668988704681,,
60,london-500,4.9602723,4.5333834,0.142668988704681,,
61,london-500,7.7198424,6.97859,0.142668988704681,,
62,london-500,4.493659,3.8132443,0.142668988704681,,
63,london-500,4.9342794,4.200303,0.142668988704681,,
64,london-500,3.989981,3.3730993,0.142668988704681,,
65,london-500,3.3586977,2.8210816,0.142668988704681,,
66,london-500,3.8720002,3.315495,0.142668988704681,,
67,london-500,4.3994083,3.5414114,0.142668988704681,,
68,london-500,3.657307,3.067628,0.142668988704681,,
69,london-500,3.2156386,2.539993,0.142668988704681,,
70,london-500,5.787502,5.15824,0.142668988704681,,
71,london-500,4.901684,4.457291,0.142668988704681,,
72,london-500,3.452807,2.911174,0.142668988704681,,
73,london-500,4.216338,3.5555093,0.142668988704681,,
74,london-500,6.200515,5.6396303,0.142668988704681,,
75,london-500,6.979169,6.4809318,0.142668988704681,,
76,london-500,3.4173393,2.7903705,0.142668988704681,,
77,london-500,10.308297,9.58824,0.142668988704681,,
78,london-500,11.758658,11.209379,0.142668988704681,,
79,london-500,3.2885053,2.6827526,0.142668988704681,,
80,london-500,4.2705045,3.5169241,0.142668988704681,,
81,london-500,4.2566934,3.308714,0.142668988704681,,
82,london-500,4.268075,3.786272,0.142668988704681,,
