Epoch,Avg Train Loss,Avg Valid Loss
0,18.938663,5.965994
1,5.362291,3.4488547
2,3.8480499,2.4021688
3,2.7056754,2.610499
4,1.8132685,1.2380779
5,1.7124673,1.3114895
6,2.7192676,1.0427483
7,1.7168944,1.0151176
8,1.5822526,1.456702
9,1.5419736,1.2797699
10,1.5205798,0.8492555
11,2.132462,0.76311636
12,1.4757097,3.4223707
13,1.405531,0.8767752
14,1.3222731,0.650977
15,1.322961,0.83961594
16,1.3331248,0.9736765
17,1.5697473,3.5083563
18,1.2880856,0.67949957
19,1.2396554,0.70195067
20,1.2774593,1.430687
21,1.1656545,0.7246022
22,1.1798818,0.6783172
23,1.234327,0.65541613
24,1.189149,1.0619197
25,1.3856816,0.74064046
26,1.097592,6.125004
27,1.0990713,0.82499903
28,1.2445693,0.77817744
29,1.0644456,1.4081061
30,1.1121612,0.6493694
31,1.0516894,0.59540284
32,1.0033237,0.4984838
33,1.0385479,0.63155997
34,1.0072011,0.6357154
35,0.9891953,0.8577216
36,1.0058545,0.59790117
37,0.9786888,0.4627691
38,0.9446699,0.7538937
39,0.9574522,0.51663953
40,0.9334147,0.43596804
41,0.9909885,1.2561333
42,0.94116,0.4474896
43,0.97080845,0.5260524
44,0.94705427,0.5699412
45,0.9329183,0.46439186
46,0.93709993,0.85848475
47,0.9439116,0.8121578
48,0.9330012,4.2033215
49,0.96079755,1.0945605
50,0.9233694,0.44818226
51,0.9109587,0.41708982
52,0.8993513,0.5092682
53,0.9085084,0.49996156
54,0.9457445,2.0711749
55,0.90853626,0.71572083
56,0.9175732,0.44846797
57,0.9177526,0.4044173
58,0.8924199,0.6058343
59,0.8911959,0.57619196
60,0.89953685,0.46117103
61,0.91344965,0.56156737
62,0.9290707,0.43018204
63,0.8975421,1.0670114
64,0.896214,0.45858052
65,0.89594096,0.46191135
66,0.90289724,0.51671743
67,0.8864223,0.5987292
68,0.8980007,1.5233763
69,0.88884175,4.7412853
70,0.9084509,0.4926181
71,0.8945736,0.6435182
72,0.9208435,0.46562797
73,0.8925527,0.42549756
74,0.88677084,0.4079651
75,0.88751686,2.6083755
76,0.8822521,1.0552304
77,0.882344,0.74710065
78,0.8790315,1.4924108
79,0.82408065,1.0512648
80,0.7960339,0.3901006
81,0.79874927,0.37281212
82,0.81538475,0.3420304
83,0.78250515,0.36839336
84,0.81424826,0.40578294
85,0.7793791,0.39326516
86,0.76414,0.5691799
87,0.54648155,0.29041255
88,0.41304877,0.2611629
89,0.39772692,0.2569791
90,0.33744478,0.25217092
91,0.3212105,0.24458772
92,0.34345984,0.277009
93,0.35237932,0.3047192
94,0.315628,0.20414099
95,0.32043436,0.30315486
96,0.34563932,0.232858
97,0.32274657,0.20408876
98,0.33230737,0.20987423
99,0.32452264,0.20904955
100,0.30219164,0.18733133
101,0.28775787,0.18616198
102,0.2935233,0.30475786
103,0.27909437,0.3203505
104,0.28756487,0.20110837
105,0.2963206,0.18892106
106,0.291554,0.21342264
107,0.29186127,0.23042767
108,0.29295418,0.16938958
109,0.27735254,0.19114737
110,0.27369478,0.20299709
111,0.2743988,0.18652779
112,0.27532783,0.18751839
113,0.28259358,0.22839555
114,0.27403387,0.24990112
115,0.2899062,0.19712955
116,0.2849,0.19967711
117,0.25598237,0.18460158
118,0.2562141,0.17606169
119,0.2509981,0.1921303
120,0.26818347,0.16179992
121,0.2559643,0.17014898
122,0.25494814,0.2577373
123,0.2580539,0.17317079
124,0.25658208,0.19809477
125,0.24949235,0.16340555
126,0.2500215,0.17493957
127,0.25675142,0.21303377
128,0.251038,0.28275806
129,0.25343105,0.18881865
130,0.25717232,0.4239492
131,0.24584036,0.156579
132,0.24269383,0.26096618
133,0.25110808,0.18997759
134,0.24973872,1.4827663
135,0.25756794,0.20776843
136,0.25284395,0.17484139
137,0.25715682,0.16958918
138,0.25656337,0.16880316
139,0.23917453,0.15992442
140,0.23900959,0.16807157
141,0.23874384,0.18314758
142,0.24231558,0.18823257
143,0.24594168,0.16167654
144,0.24275443,0.18261202
145,0.24456067,0.21208015
146,0.23939092,0.2692941
147,0.23382288,0.17621961
148,0.23520236,0.1916485
149,0.24036169,0.16944426
150,0.2492966,0.16337968
151,0.2363753,0.16499425
152,0.23708603,0.15340702
153,0.23779976,0.36465377
154,0.23580563,0.2006883
155,0.23414578,0.16613574
156,0.23831083,0.15031053
157,0.24028572,0.15892822
158,0.22676097,0.2317019
159,0.23611525,0.21008953
160,0.22955047,0.20578282
161,0.24012914,0.15792967
162,0.23515092,0.33068562
163,0.22877063,0.18573727
164,0.23262516,0.2135238
165,0.22867672,0.22558255
166,0.23564658,0.16993994
