Epoch,Avg Train Loss,Avg Valid Loss
0,155.31961,24.265673
1,26.740725,15.75808
2,20.532034,14.066617
3,14.191623,10.6207485
4,10.553886,11.574328
5,9.008084,17.359201
6,8.060154,6.6162863
7,7.8885584,23.449188
8,10.812435,15.739393
9,8.382569,5.9958644
10,8.90661,6.494094
11,6.6330013,12.394073
12,6.8870945,5.0433917
13,9.031219,4.57746
14,7.669161,4.969972
15,9.10138,5.0586557
16,8.265846,4.8372927
17,9.14869,3.5450203
18,7.1117797,11.8976
19,5.7236223,3.6748137
20,4.692481,3.5431824
21,5.0000076,3.1883674
22,4.257691,3.5387883
23,5.4786973,5.092338
24,4.1320686,3.6841507
25,3.9283118,2.7446494
26,4.316582,3.505069
27,7.2384124,4.1265383
28,5.1352086,3.714946
29,3.915344,3.099918
30,3.5339103,3.482345
31,3.7323892,2.8957655
32,3.6017926,2.5288246
33,3.5929954,3.1877978
34,3.4792423,2.5837936
35,3.9047675,2.4238238
36,4.134601,3.1203606
37,3.4225094,3.3796604
38,4.666378,2.6885514
39,3.6462204,7.116997
40,4.319457,2.6955295
41,3.1774044,2.6721902
42,3.1006708,2.5965466
43,3.8245227,6.434863
44,3.4683282,2.8780375
45,3.53189,2.6794744
46,4.4383564,2.9874654
47,3.0750437,3.3178017
48,3.9273925,2.894217
49,2.85688,6.2941456
50,5.5847173,2.9412987
51,4.31944,2.289884
52,2.9708085,3.374895
53,2.9591515,3.325122
54,4.425314,2.8912084
55,3.2291033,2.575713
56,2.9767,2.581325
57,3.002287,2.0457015
58,2.741875,2.1298423
59,3.538995,2.8477585
60,3.0716677,2.1797814
61,2.6720786,2.5156913
62,3.160603,1.8695465
63,2.6061127,2.9425588
64,3.3323932,2.4514487
65,2.6322696,1.7685751
66,2.8482459,1.9302168
67,2.6772647,2.0590844
68,2.6062095,2.087566
69,3.8402305,2.0102441
70,2.5318818,1.9609827
71,2.8795514,2.024671
72,3.1655228,2.255979
73,2.2596033,2.0808291
74,2.7762682,1.9676911
75,3.3016608,3.0051277
76,2.9899714,2.334124
77,2.5249348,2.925692
78,2.4823475,1.7368205
79,2.7970066,2.271897
80,2.7802591,1.9362618
81,2.4632027,2.4098122
82,2.6944702,2.2922397
83,3.248194,2.1610734
84,5.652187,2.3947234
85,2.5237238,2.162996
86,2.493366,1.9210918
87,2.5943322,1.8857616
88,2.3254998,1.8015982
89,2.6016474,2.0190272
90,2.697875,2.7081861
91,2.807105,3.9196332
92,2.626846,2.2752795
93,2.4362383,1.7786188
94,2.3702826,1.8322554
95,2.4960809,2.261187
96,2.4530087,1.7825152
97,2.181472,3.2009053
98,2.389216,1.7996206
99,2.4966183,1.8153919
