Epoch,Avg Train Loss,Avg Valid Loss
0,168.35826,141.1995
1,54.122166,37.18326
2,39.98879,28.44259
3,33.539974,17.729574
4,22.336653,20.854603
5,19.593658,19.262394
6,20.19371,16.706251
7,19.090446,12.517994
8,18.869122,12.344484
9,21.143011,14.502889
10,17.719694,11.568049
11,17.891306,12.56976
12,16.130013,10.601078
13,15.853219,9.435547
14,15.137376,11.073306
15,13.61759,11.054876
16,13.830026,9.366794
17,13.804779,9.719448
18,13.245635,7.819091
19,12.245478,7.726466
20,12.120797,8.407312
21,11.162116,6.634738
22,10.550084,7.4802
23,12.386798,7.5303955
24,10.731439,11.724576
25,9.783327,9.532024
26,8.969315,6.801475
27,9.414325,5.246829
28,9.1077585,5.3798094
29,8.906355,6.790473
30,8.457351,6.065764
31,8.644267,5.978473
32,8.155798,6.8323092
33,8.4002495,6.5112543
34,8.03507,6.287331
35,8.257776,4.8840094
36,7.358326,5.234918
37,7.2804246,4.835668
38,7.2783275,4.647777
39,7.06924,4.837581
40,7.2295523,3.895535
41,7.132059,4.3576126
42,6.3094897,4.8446283
43,6.465253,3.973105
44,6.780096,4.1621485
45,6.1719265,4.4172907
46,6.997417,5.2304916
47,5.783995,4.1745095
48,6.217328,3.8460164
49,5.461775,4.3510895
50,5.940835,3.5968537
51,5.9254913,4.005448
52,5.851129,3.8877306
53,5.3882504,3.8887155
54,5.5999665,3.507848
55,5.0061173,3.5211844
56,5.3046265,3.5180655
57,4.9329185,3.6541998
58,5.206124,3.6987474
59,4.971933,4.077491
60,4.8579507,3.4627383
61,4.8327017,3.2000816
62,5.0359917,3.3806212
63,5.139485,3.5571387
64,4.9385376,3.3610718
65,5.200822,3.5719132
66,4.719428,3.0820894
67,4.477676,3.3440864
68,4.090678,3.421337
69,4.63743,3.2125905
70,4.279764,2.8376493
71,4.4603505,3.0160875
72,4.1579623,3.673787
73,4.3849874,7.7230306
74,4.2995257,4.3392057
75,4.0550194,2.7523994
76,4.111325,2.9360876
77,4.1172266,3.815396
78,4.312583,4.330187
79,3.7958138,2.4041598
80,3.7758749,2.874954
81,3.7055733,2.5523458
82,4.0129075,2.706341
83,3.7351408,3.6203985
84,3.7748632,2.5996315
85,3.583499,2.436619
86,3.4812226,2.5111215
87,3.4601545,3.322139
88,3.5545874,2.754014
89,4.181546,2.3074045
90,3.423561,2.8060787
91,3.5617433,3.070633
92,3.7426445,2.4566023
93,3.492833,2.2850637
94,3.050746,2.308411
95,3.2439363,2.3601203
96,3.3416464,1.9607894
97,3.1956172,2.4281
98,3.5349047,2.3105989
99,3.2473624,2.1232417
