Epoch,Avg Train Loss,Avg Valid Loss
0,290.51456,56.38039
1,56.611744,43.184593
2,56.653534,40.11458
3,49.478928,28.11694
4,67.86024,31.03559
5,45.168373,24.791212
6,30.705795,19.68404
7,23.838655,20.990326
8,24.555717,17.435587
9,27.137728,22.106604
10,23.989067,17.733564
11,22.92109,17.055286
12,19.512106,13.831347
13,17.77442,15.088725
14,16.114412,10.578432
15,16.011951,11.550399
16,15.460499,12.348143
17,13.814447,9.999552
18,13.869013,11.394427
19,13.715743,11.35499
20,12.93203,14.795398
21,12.849432,11.874458
22,13.284466,11.123549
23,13.169786,11.599176
24,11.338356,11.618628
25,14.426191,9.20138
26,14.431162,9.653189
27,10.792197,10.129658
28,10.559242,12.283876
29,12.6655245,10.678754
30,11.858988,10.065325
31,10.203239,7.2258277
32,11.951685,9.336809
33,12.265024,9.436218
34,10.654968,7.217035
35,10.428201,28.345057
36,12.090002,6.9422607
37,11.358485,8.275161
38,14.178049,7.4787855
39,8.334001,5.525374
40,9.655257,8.139464
41,10.328314,7.1218834
42,8.426952,6.113698
43,8.539063,5.5470533
44,8.828643,8.447677
45,8.313827,11.66852
46,9.187508,6.4687796
47,7.6951222,26.678135
48,8.127327,5.949851
49,6.7886906,7.2464266
50,7.3392653,5.8217807
51,7.3003316,5.129689
52,7.1389675,6.9897423
53,7.2825255,8.246279
54,6.579223,5.3837185
55,6.833975,5.6972365
56,6.955884,4.8753557
57,6.1769905,6.4312525
58,6.9332,6.449159
59,6.6000504,18.271046
60,8.28378,4.9256616
61,7.605785,5.37633
62,6.8978906,13.849241
63,6.4833183,12.972246
64,7.073506,5.2185946
65,5.8475323,5.7946053
66,6.553582,8.985136
67,5.685939,4.040558
68,5.5498004,3.924357
69,5.603433,6.4152894
70,5.8217373,3.823094
71,6.57671,5.8783383
72,5.319927,4.657447
73,5.4551005,12.613933
74,5.5213747,4.2703066
75,5.8675575,4.7448845
76,6.8004436,5.327468
77,5.033815,9.994986
78,6.9361644,4.8551474
79,5.2448945,4.5891094
80,4.7823734,7.3044043
81,5.5832324,3.9831157
82,4.7491713,4.1112866
83,5.067469,8.865262
84,4.7616935,3.619147
85,5.358801,3.818993
86,4.266519,3.9670124
87,5.207338,3.5960317
88,4.382365,5.5576797
89,4.960011,3.9546573
90,5.3285923,4.2347784
91,4.7090697,3.670177
92,5.4950676,9.848473
93,4.743584,17.138083
94,4.8185897,3.495964
95,4.83172,4.69433
96,4.0782723,6.2268796
97,4.6812687,3.49433
98,4.490291,31.63506
99,4.6973395,3.1335378
