Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,sf-market-500,1.8535872,0.5010911,0.21173160076141356
1,sf-market-500,4.4582925,1.1854943,0.21173160076141356
2,sf-market-500,2.2596755,0.75240546,0.21173160076141356
3,sf-market-500,2.5672464,0.60556805,0.21173160076141356
4,sf-market-500,3.0148208,1.0275068,0.21173160076141356
5,sf-market-500,2.6061993,0.81774634,0.21173160076141356
6,sf-market-500,2.3586664,0.7769096,0.21173160076141356
7,sf-market-500,2.5318477,1.1045171,0.21173160076141356
8,sf-market-500,2.8163538,0.8652164,0.21173160076141356
9,sf-market-500,4.2739043,1.3890387,0.21173160076141356
10,sf-market-500,3.362214,1.1075811,0.01373145580291748
11,sf-market-500,2.3756225,0.82603645,0.01373145580291748
12,sf-market-500,2.9416125,0.84032726,0.01373145580291748
13,sf-market-500,1.6253052,0.6597265,0.01373145580291748
14,sf-market-500,2.432624,0.80404466,0.01373145580291748
15,sf-market-500,2.409991,0.84453285,0.01373145580291748
16,sf-market-500,5.177042,2.0256217,0.01373145580291748
17,sf-market-500,3.5369139,1.2738255,0.01373145580291748
18,sf-market-500,3.3926964,1.040741,0.01373145580291748
19,sf-market-500,1.9874756,0.536047,0.01373145580291748
20,sf-market-500,2.536796,0.9728117,0.006682348251342773
21,sf-market-500,2.8406756,0.81696105,0.006682348251342773
22,sf-market-500,5.36026,2.0024037,0.006682348251342773
23,sf-market-500,2.7283363,0.816365,0.006682348251342773
24,sf-market-500,3.2203443,1.0735399,0.006682348251342773
25,sf-market-500,1.9756043,0.59002495,0.006682348251342773
26,sf-market-500,4.2998238,1.573488,0.006682348251342773
27,sf-market-500,2.7984438,0.85211265,0.006682348251342773
28,sf-market-500,1.8339764,0.517359,0.006682348251342773
29,sf-market-500,4.169177,1.385392,0.006682348251342773
30,sf-market-500,2.3207014,0.5252032,0.007575464248657226
31,sf-market-500,3.2979426,0.9681348,0.007575464248657226
32,sf-market-500,3.173091,0.90600693,0.007575464248657226
33,sf-market-500,2.6427944,0.63492584,0.007575464248657226
34,sf-market-500,3.2557282,1.1504264,0.007575464248657226
35,sf-market-500,2.6535363,1.2284662,0.007575464248657226
36,sf-market-500,3.2488472,1.1148622,0.007575464248657226
