Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,nyc-1000,2.847704,2.4676287,0.14894709587097169
1,nyc-1000,3.9875202,3.2814014,0.14894709587097169
2,nyc-1000,3.2900164,2.5028968,0.14894709587097169
3,nyc-1000,4.4142804,4.0431395,0.14894709587097169
4,nyc-1000,1.6664343,1.3585095,0.14894709587097169
5,nyc-1000,2.4329674,1.9392972,0.14894709587097169
6,nyc-1000,3.9530683,3.4862905,0.14894709587097169
7,nyc-1000,1.8295324,1.4294906,0.14894709587097169
8,nyc-1000,2.3651955,1.9740784,0.14894709587097169
9,nyc-1000,1.7870929,1.353462,0.14894709587097169
10,nyc-1000,3.1174521,2.6423664,0.14894709587097169
11,nyc-1000,3.1092515,1.8604832,0.14894709587097169
12,nyc-1000,2.1047287,1.6971056,0.14894709587097169
13,nyc-1000,2.7732635,2.4245086,0.14894709587097169
14,nyc-1000,2.3101683,1.9531679,0.14894709587097169
15,nyc-1000,4.05069,3.607429,0.14894709587097169
16,nyc-1000,3.3787775,3.1354835,0.14894709587097169
17,nyc-1000,2.053792,1.8286119,0.14894709587097169
18,nyc-1000,3.2694836,2.988327,0.14894709587097169
19,nyc-1000,4.4970493,4.0149198,0.14894709587097169
20,nyc-1000,2.9453444,2.5418384,0.14894709587097169
21,nyc-1000,2.7282443,2.153408,0.14894709587097169
22,nyc-1000,2.3719478,1.8163904,0.14894709587097169
23,nyc-1000,1.877791,1.553175,0.14894709587097169
24,nyc-1000,3.933827,3.5083284,0.14894709587097169
25,nyc-1000,3.7248125,3.2542799,0.14894709587097169
26,nyc-1000,1.8802938,1.45057,0.14894709587097169
27,nyc-1000,3.7315936,3.4118605,0.14894709587097169
28,nyc-1000,3.3497207,2.7685056,0.14894709587097169
29,nyc-1000,3.531239,3.051191,0.14894709587097169
30,nyc-1000,5.301424,4.736565,0.14894709587097169
31,nyc-1000,2.2784204,1.9856701,0.14894709587097169
32,nyc-1000,2.6912785,2.461102,0.14894709587097169
33,nyc-1000,3.2556734,3.0051239,0.14894709587097169
34,nyc-1000,2.4846678,2.114766,0.14894709587097169
35,nyc-1000,3.4378061,2.6872973,0.14894709587097169
36,nyc-1000,5.0042267,4.5666757,0.14894709587097169
37,nyc-1000,1.7926772,1.3582234,0.14894709587097169
38,nyc-1000,3.9147382,3.4886713,0.14894709587097169
39,nyc-1000,2.6664793,2.3372326,0.14894709587097169
40,nyc-1000,2.0340183,1.7386107,0.14894709587097169
41,nyc-1000,3.0229282,2.8107815,0.14894709587097169
42,nyc-1000,5.7276783,5.366782,0.14894709587097169
43,nyc-1000,3.8622499,3.4334364,0.14894709587097169
44,nyc-1000,1.5370387,1.2655561,0.14894709587097169
45,nyc-1000,3.8271637,3.403327,0.14894709587097169
46,nyc-1000,2.7534463,2.3890667,0.14894709587097169
47,nyc-1000,8.088523,7.3360434,0.14894709587097169
48,nyc-1000,1.9133763,1.6878612,0.14894709587097169
49,nyc-1000,2.3172448,1.9100063,0.14894709587097169
