Test Instance,Graph,Flow Cost,Dual Cost,Time (sec),,,
0,nyc-1000,2.7341776,2.5103343,0.096931571960449,,,
1,nyc-1000,3.5909975,3.3254142,0.096931571960449,,,
2,nyc-1000,3.1086154,2.635982,0.096931571960449,,,
3,nyc-1000,4.388654,4.0822496,0.096931571960449,,,
4,nyc-1000,1.6249936,1.4032258,0.096931571960449,,,
5,nyc-1000,2.3871753,1.9905133,0.096931571960449,,,
6,nyc-1000,3.7853837,3.5605283,0.096931571960449,,,
7,nyc-1000,1.6874983,1.4725174,0.096931571960449,,,
8,nyc-1000,2.2995615,1.9977484,0.096931571960449,,,
9,nyc-1000,1.6435863,1.4059066,0.096931571960449,,,
10,nyc-1000,3.0449862,2.6775198,0.096931571960449,,,
11,nyc-1000,2.7140408,1.9302893,0.096931571960449,,,
12,nyc-1000,2.039934,1.7540926,0.096931571960449,,,
13,nyc-1000,2.6819193,2.4561372,0.096931571960449,,,
14,nyc-1000,2.189552,1.9929945,0.096931571960449,,,
15,nyc-1000,3.8994281,3.6201835,0.096931571960449,,,
16,nyc-1000,3.3923714,3.1526985,0.096931571960449,,,
17,nyc-1000,2.039898,1.8503199,0.096931571960449,,,
18,nyc-1000,3.2798333,3.0258946,0.096931571960449,,,
19,nyc-1000,4.30631,4.0468235,0.096931571960449,,,0.036052663326264
20,nyc-1000,2.834786,2.5669618,0.096931571960449,,,
21,nyc-1000,2.5716877,2.2301226,0.096931571960449,,,
22,nyc-1000,2.1652963,1.8657446,0.096931571960449,,,
23,nyc-1000,1.7676178,1.588453,0.096931571960449,,,
24,nyc-1000,3.796487,3.5602121,0.096931571960449,,,
25,nyc-1000,3.5584662,3.270091,0.096931571960449,,,
26,nyc-1000,1.798217,1.4938169,0.096931571960449,,,
27,nyc-1000,3.7690306,3.434145,0.096931571960449,,,
28,nyc-1000,3.1688333,2.8150141,0.096931571960449,,,
29,nyc-1000,3.3220263,3.0677688,0.096931571960449,,,
30,nyc-1000,5.0949326,4.7331753,0.096931571960449,,,
31,nyc-1000,2.2242749,2.0049565,0.096931571960449,,,
32,nyc-1000,2.7059913,2.491522,0.096931571960449,,,
33,nyc-1000,3.204908,3.0130596,0.096931571960449,,,
34,nyc-1000,2.334498,2.1560297,0.096931571960449,,,
35,nyc-1000,3.2829418,2.8282013,0.096931571960449,,,
36,nyc-1000,4.934457,4.597493,0.096931571960449,,,
37,nyc-1000,1.7187233,1.409714,0.096931571960449,,,
38,nyc-1000,3.7388973,3.5064187,0.096931571960449,,,
39,nyc-1000,2.6330202,2.364987,0.096931571960449,,,
40,nyc-1000,1.9865801,1.7609031,0.096931571960449,,,
