Index,Graph,Flow Cost,Time (sec),Num Iters,,
0,nyc-1000,2.61960102201284,8.67438292503357,9,,
1,nyc-1000,3.44195488784315,10.6790015697479,11,,
2,nyc-1000,2.79422569643619,11.4673044681549,12,,
3,nyc-1000,4.26549995251668,6.83920574188232,7,,
4,nyc-1000,1.44121643351999,8.72084283828735,9,,
5,nyc-1000,2.03369222012346,8.69618892669678,9,,
6,nyc-1000,3.61703140346141,4.92231392860413,5,,
7,nyc-1000,1.53613973431546,9.7286319732666,10,,
8,nyc-1000,2.04777274211542,5.84889125823975,6,,
9,nyc-1000,1.49171125395903,8.73332381248474,9,,
10,nyc-1000,2.75717964055502,8.66449999809265,9,,
11,nyc-1000,2.01424822970438,10.5606520175934,11,,
12,nyc-1000,1.82435490223967,4.89645600318909,5,,
13,nyc-1000,2.49929980795041,7.81453919410706,8,,
14,nyc-1000,2.04024774475342,4.97056269645691,5,,
15,nyc-1000,3.70427559336039,5.83779764175415,6,,
16,nyc-1000,3.23115709631424,3.97289204597473,4,,
17,nyc-1000,1.89900509433866,4.01603484153748,4,,
18,nyc-1000,3.09685040103727,3.08893418312073,3,,7.10685312747955
19,nyc-1000,4.10092912021516,7.76852416992188,8,,
20,nyc-1000,2.6471071765092,6.79244899749756,7,,
21,nyc-1000,2.31839682299548,11.5433585643768,12,,
22,nyc-1000,1.91744008977165,6.88205671310425,7,,
23,nyc-1000,1.62987568917,6.8382842540741,7,,
24,nyc-1000,3.61121904096402,6.83404469490051,7,,
25,nyc-1000,3.38954685806236,5.88884377479553,6,,
26,nyc-1000,1.53537924931575,7.76484775543213,8,,
27,nyc-1000,3.55111870005168,7.73424196243286,8,,
28,nyc-1000,2.92521406235856,4.03893327713013,4,,
29,nyc-1000,3.22617131609312,4.90086150169373,5,,
30,nyc-1000,4.83724467525248,6.86018896102905,7,,
31,nyc-1000,2.04437838143419,9.70278716087341,10,,
32,nyc-1000,2.54442328792006,6.87282729148865,7,,
33,nyc-1000,3.10913038008694,6.84106850624085,7,,
34,nyc-1000,2.19816301689776,8.74735403060913,9,,
35,nyc-1000,3.0139749626027,10.5920813083649,11,,
36,nyc-1000,4.65921837985119,13.4848268032074,14,,
37,nyc-1000,1.45553373350275,4.89969992637634,5,,
38,nyc-1000,3.62799685969768,4.98896813392639,5,,
39,nyc-1000,2.550130473536,6.92219877243042,7,,
40,nyc-1000,1.80829099006666,4.98727989196777,5,,
41,nyc-1000,2.89508204585943,10.6491649150848,11,,
42,nyc-1000,5.53890617414638,9.71342897415161,10,,
43,nyc-1000,3.56512790049275,7.77638053894043,8,,
44,nyc-1000,1.32018313250528,13.4709889888763,14,,
45,nyc-1000,3.50899266739858,6.86294341087341,7,,
46,nyc-1000,2.5429269945649,5.88268637657166,6,,
47,nyc-1000,7.61168685907532,6.85315442085266,7,,
48,nyc-1000,1.77489499055823,5.93179368972778,6,,
49,nyc-1000,1.9954535964063,6.78566288948059,7,,
50,nyc-1000,2.10587459462384,4.97879838943481,5,,
51,nyc-1000,2.46159326587241,6.86914372444153,7,,
52,nyc-1000,4.19505128651804,6.85367274284363,7,,
53,nyc-1000,1.69252608840611,11.4962360858917,12,,
54,nyc-1000,4.16524727696877,5.0053768157959,5,,
55,nyc-1000,2.17524954438879,9.67770075798035,10,,
56,nyc-1000,1.80444425099937,11.5881948471069,12,,
57,nyc-1000,1.83677549707239,9.73951172828674,10,,
58,nyc-1000,3.39301230935031,3.97989130020142,4,,
59,nyc-1000,2.42893768442588,8.76552319526672,9,,
60,nyc-1000,1.97524563313947,8.68708109855652,9,,
61,nyc-1000,2.35468113150507,3.99439120292664,4,,
62,nyc-1000,2.082864348784,7.8029260635376,8,,
63,nyc-1000,3.00947088817928,5.89633345603943,6,,
64,nyc-1000,3.05595234782923,4.02256035804749,4,,
65,nyc-1000,2.12504518529491,4.91559934616089,5,,
66,nyc-1000,1.79180666452289,5.91044592857361,6,,
67,nyc-1000,2.94905104005629,6.87564945220947,7,,
68,nyc-1000,2.27669594288832,10.6220979690552,11,,
69,nyc-1000,2.22742529412083,5.87800455093384,6,,
70,nyc-1000,1.64776861755444,11.4934210777283,12,,
71,nyc-1000,2.99110104580598,8.71682929992676,9,,
72,nyc-1000,2.40100282496307,4.98292326927185,5,,
73,nyc-1000,4.56808541390806,9.72042202949524,10,,
74,nyc-1000,2.57177161875427,7.79514837265015,8,,
