Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,sf-market-500,11.264387,8.3201475,0.0616081976890564
1,sf-market-500,9.955133,7.2913427,0.0616081976890564
2,sf-market-500,8.764177,6.695175,0.0616081976890564
3,sf-market-500,11.27276,7.752957,0.0616081976890564
4,sf-market-500,9.625545,6.329873,0.0616081976890564
5,sf-market-500,9.9132805,7.78541,0.0616081976890564
6,sf-market-500,9.479821,6.9388866,0.0616081976890564
7,sf-market-500,9.395554,6.3717346,0.0616081976890564
8,sf-market-500,11.293484,7.205247,0.0616081976890564
9,sf-market-500,11.840324,6.724527,0.0616081976890564
10,sf-market-500,10.217953,7.30862,0.0616081976890564
11,sf-market-500,9.609552,6.7820725,0.0616081976890564
12,sf-market-500,12.18488,6.621326,0.0616081976890564
13,sf-market-500,9.735531,6.9311895,0.0616081976890564
14,sf-market-500,11.86858,8.777185,0.0616081976890564
15,sf-market-500,11.908049,8.287824,0.0616081976890564
16,sf-market-500,9.129985,6.624325,0.0616081976890564
17,sf-market-500,10.994022,7.644455,0.0616081976890564
18,sf-market-500,8.883461,6.6650586,0.0616081976890564
19,sf-market-500,9.555431,6.5370855,0.0616081976890564
20,sf-market-500,9.241878,6.307934,0.0616081976890564
21,sf-market-500,12.808803,8.098812,0.0616081976890564
22,sf-market-500,10.891691,8.623099,0.0616081976890564
23,sf-market-500,9.709447,7.280142,0.0616081976890564
24,sf-market-500,9.716154,6.7093654,0.0616081976890564
25,sf-market-500,13.989997,7.200313,0.0616081976890564
26,sf-market-500,9.475357,6.766757,0.0616081976890564
27,sf-market-500,9.219427,6.8837414,0.0616081976890564
28,sf-market-500,9.845809,6.760274,0.0616081976890564
29,sf-market-500,9.137672,6.3669634,0.0616081976890564
30,sf-market-500,11.343378,8.629037,0.0616081976890564
31,sf-market-500,10.219591,7.560274,0.0616081976890564
32,sf-market-500,10.138147,6.340312,0.0616081976890564
33,sf-market-500,8.685745,6.3863378,0.0616081976890564
34,sf-market-500,12.255372,9.632544,0.0616081976890564
35,sf-market-500,8.985805,6.798647,0.0616081976890564
36,sf-market-500,12.718681,9.074927,0.0616081976890564
37,sf-market-500,9.566313,7.0207667,0.0616081976890564
38,sf-market-500,9.395408,6.706222,0.0616081976890564
39,sf-market-500,9.648842,6.697923,0.0616081976890564
40,sf-market-500,11.067221,7.846749,0.0616081976890564
41,sf-market-500,9.03528,6.338811,0.0616081976890564
42,sf-market-500,10.098715,7.423752,0.0616081976890564
43,sf-market-500,10.659386,7.092445,0.0616081976890564
44,sf-market-500,9.493509,7.140408,0.0616081976890564
45,sf-market-500,9.20509,6.8081403,0.0616081976890564
46,sf-market-500,10.651295,6.7508664,0.0616081976890564
47,sf-market-500,11.113784,8.517015,0.0616081976890564
48,sf-market-500,9.965181,7.3453693,0.0616081976890564
49,sf-market-500,9.554368,7.204322,0.0616081976890564
50,sf-market-500,10.874968,7.6071167,0.0616081976890564
51,sf-market-500,9.206997,6.6242485,0.0616081976890564
52,sf-market-500,9.779362,7.1367807,0.0616081976890564
53,sf-market-500,10.509651,7.9416084,0.0616081976890564
54,sf-market-500,10.36177,7.183087,0.0616081976890564
55,sf-market-500,9.654091,6.728548,0.0616081976890564
56,sf-market-500,8.947324,6.8529215,0.0616081976890564
57,sf-market-500,10.283563,7.514914,0.0616081976890564
58,sf-market-500,8.630933,6.580153,0.0616081976890564
59,sf-market-500,9.862198,7.0330124,0.0616081976890564
60,sf-market-500,13.130435,9.753572,0.0616081976890564
61,sf-market-500,10.865366,7.20761,0.0616081976890564
62,sf-market-500,10.942308,7.4954596,0.0616081976890564
63,sf-market-500,9.568953,6.651295,0.0616081976890564
64,sf-market-500,9.404036,6.5162363,0.0616081976890564
