Epoch,Avg Train Loss,Avg Valid Loss
0,377.39114,85.30739
1,65.839165,121.1213
2,66.87427,36.175556
3,42.31799,25.272896
4,38.394722,21.107964
5,62.884598,21.840015
6,31.175684,22.60764
7,27.133888,20.884617
8,35.486332,25.36137
9,36.029003,19.817251
10,20.135536,14.679988
11,27.270561,19.33903
12,20.658253,18.37108
13,20.918085,17.77825
14,21.633001,15.835095
15,22.681988,14.628789
16,20.073418,14.613085
17,19.738409,12.709788
18,20.578602,17.996447
19,26.466908,14.650614
20,28.226225,16.636454
21,17.980244,15.478331
22,20.634502,11.7204
23,25.516096,11.368342
24,12.43688,9.926158
25,16.42012,10.325254
26,24.791553,17.705418
27,17.57718,10.034655
28,13.844601,10.537495
29,28.372137,8.946683
30,12.648311,9.946182
31,12.159415,7.816777
32,13.00552,34.647964
33,14.210865,8.873884
34,11.885176,8.545007
35,11.528442,7.475751
36,10.129445,8.235815
37,9.723401,274.24307
38,21.712034,15.108986
39,8.324798,7.258451
40,14.2960415,6.8049936
41,11.503086,8.097572
42,10.086664,7.793335
43,8.483935,7.3539085
44,9.64437,8.238379
45,28.61266,6.5294046
46,7.4717913,6.5992203
47,11.522381,6.5209556
48,11.307677,5.5436506
49,17.185549,13.744357
50,13.670715,22.887104
51,12.586468,5.907639
52,11.885412,5.7359533
53,10.134402,8.516358
54,8.106704,14.297755
55,6.8724165,4.9477477
56,11.721977,6.218402
57,12.8607235,4.9851904
58,9.148742,5.085501
59,14.72103,6.005706
60,6.8650694,5.448329
61,7.3297615,4.5758753
62,7.3037176,5.8557076
63,6.1221447,16.817257
64,6.9880233,20.014221
65,7.9162116,4.103518
66,12.363209,4.7470684
67,8.01104,4.7041597
68,5.756905,15.999395
69,6.886734,3.5164306
70,7.477196,4.1236124
71,7.4345293,4.237806
72,6.794826,4.112036
73,5.953635,7.0613885
74,10.107281,4.81182
75,11.239154,3.536892
76,6.619895,3.551981
77,6.451358,4.7702246
78,5.1392217,6.1735187
79,7.055441,3.282575
80,5.3333507,3.4345233
81,8.111543,3.6645916
82,7.0159307,4.1988974
83,11.497101,4.2698584
84,5.4726315,3.9532986
85,6.7040973,4.3783016
86,4.5275974,5.8944726
87,8.988249,4.6311626
88,5.1913104,4.1906996
89,5.143529,4.041959
90,9.463096,4.247816
91,4.8578615,3.3113723
92,4.552576,6.7601423
93,5.697336,3.8833644
94,10.300733,42.760612
95,5.7786064,4.8402405
96,7.1701927,2.9768944
97,4.995274,3.1473527
98,4.0816975,4.768128
99,7.1522245,3.1547222
