Epoch,Avg Train Loss,Avg Valid Loss
0,428.1101,42.483025
1,44.85558,32.667503
2,38.6457,26.967224
3,32.027428,21.925848
4,37.941936,19.206993
5,23.825743,46.36274
6,26.812065,20.659863
7,26.825691,18.206293
8,19.135256,15.955096
9,17.22396,12.721506
10,21.258152,16.981653
11,23.281658,10.168969
12,18.389532,12.248699
13,17.974632,11.460314
14,16.255852,10.144759
15,16.89154,11.758902
16,15.117849,11.927087
17,16.837145,7.0051003
18,11.271102,7.194873
19,12.174751,5.9022007
20,14.732697,7.742289
21,12.641834,86.65695
22,16.624636,6.8080416
23,22.501415,14.790789
24,9.203077,8.72138
25,11.994729,7.696897
26,11.37357,6.8175955
27,13.597686,64.80686
28,15.053555,5.761369
29,18.190903,59.81832
30,24.710688,10.956427
31,9.585195,7.0715094
32,17.834291,6.3165693
33,8.031003,5.491685
34,10.274823,6.321977
35,8.181342,7.705962
36,9.413521,4.820293
37,8.246964,5.715848
38,11.054596,10.874269
39,7.350435,5.162933
40,8.651788,6.7762094
41,9.631594,9.160894
42,6.983164,4.6833405
43,9.934961,4.196058
44,9.1506605,4.546069
45,8.512099,86.61763
46,7.1373653,12.49047
47,7.8666053,5.35688
48,14.472391,4.9773154
49,7.7738447,199.92274
50,9.806326,9.56767
51,7.705426,6.67948
52,7.3070955,6.760572
53,5.3337193,3.8656888
54,8.078468,5.647691
55,7.080389,5.811143
56,5.811131,5.7811217
57,5.092869,4.8082504
58,6.550236,4.643903
59,6.859151,148.31909
60,9.273807,4.6488
61,6.6473937,4.379798
62,8.02689,11.611305
63,7.4334517,3.9955437
64,10.917217,26.951687
65,8.181929,3.8813312
66,10.809249,4.83658
67,8.563797,57.588367
68,6.3696795,3.0635889
69,7.074954,4.0762396
70,6.4442,37.280846
71,6.8632936,4.312332
72,5.383585,3.9790215
73,6.7371864,7.8590393
74,6.3916817,4.867249
75,7.7203493,4.3699245
76,6.3147054,4.1962714
77,6.9186597,4.0983152
78,5.64379,4.9034133
79,6.9805775,3.8467355
80,5.767438,8.469103
81,5.485133,23.83215
82,9.794081,3.7323303
83,4.5140915,3.9935937
84,5.520516,4.2979
85,4.8369017,3.897293
86,5.061667,3.540958
87,4.449916,17.015665
88,6.1750464,3.6195667
89,5.763613,3.9557197
90,6.2630754,3.6902516
91,4.546446,3.431644
92,5.705981,3.1898706
93,4.5547233,3.527827
94,6.16311,21.539541
95,5.778284,4.3741803
96,7.4027295,8.128359
97,5.343341,3.0586257
98,6.88566,3.1910453
99,5.0147343,3.156226
