Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,sf-market-500,16022.276,0.0,0.013582749366760254
1,sf-market-500,241.9416,0.0,0.013582749366760254
2,sf-market-500,8677.314,0.0,0.013582749366760254
3,sf-market-500,6759.8066,0.0,0.013582749366760254
4,sf-market-500,777.734,0.0,0.013582749366760254
5,sf-market-500,187.35458,0.0,0.013582749366760254
6,sf-market-500,10475.057,0.0,0.013582749366760254
7,sf-market-500,1161.9781,0.0,0.013582749366760254
8,sf-market-500,438.7521,0.0,0.013582749366760254
9,sf-market-500,6475.1777,0.0,0.013582749366760254
10,sf-market-500,396.63837,0.0,0.013582749366760254
11,sf-market-500,283.23077,0.0,0.013582749366760254
12,sf-market-500,6318.627,0.0,0.013582749366760254
13,sf-market-500,161.94006,0.0,0.013582749366760254
14,sf-market-500,732.28296,0.0,0.013582749366760254
15,sf-market-500,704.0283,0.0,0.013582749366760254
16,sf-market-500,810.067,0.0,0.013582749366760254
17,sf-market-500,1005.74646,0.0,0.013582749366760254
18,sf-market-500,125.0439,0.0,0.013582749366760254
19,sf-market-500,8801.561,0.0,0.013582749366760254
20,sf-market-500,319.9472,0.0,0.013582749366760254
21,sf-market-500,239.64343,0.0,0.013582749366760254
22,sf-market-500,264.6416,0.0,0.013582749366760254
23,sf-market-500,8412.137,0.0,0.013582749366760254
24,sf-market-500,626.9553,0.0,0.013582749366760254
25,sf-market-500,201.89882,0.0,0.013582749366760254
26,sf-market-500,240.86905,0.0,0.013582749366760254
27,sf-market-500,157.81366,0.0,0.013582749366760254
28,sf-market-500,2088.3052,0.0,0.013582749366760254
29,sf-market-500,4427.5215,0.0,0.013582749366760254
30,sf-market-500,463.36084,0.0,0.013582749366760254
31,sf-market-500,15310.439,0.0,0.013582749366760254
32,sf-market-500,3999.4888,0.0,0.013582749366760254
33,sf-market-500,93.87127,0.0,0.013582749366760254
34,sf-market-500,950.6783,0.0,0.013582749366760254
35,sf-market-500,8169.6445,0.0,0.013582749366760254
36,sf-market-500,596.0351,0.0,0.013582749366760254
37,sf-market-500,85.96866,0.0,0.013582749366760254
38,sf-market-500,2497.713,0.0,0.013582749366760254
39,sf-market-500,635.29224,0.0,0.013582749366760254
40,sf-market-500,578.79047,0.0,0.013582749366760254
41,sf-market-500,3260.493,0.0,0.013582749366760254
42,sf-market-500,11473.994,0.0,0.013582749366760254
43,sf-market-500,640.10986,0.0,0.013582749366760254
44,sf-market-500,95.15825,0.0,0.013582749366760254
45,sf-market-500,151.50107,0.0,0.013582749366760254
46,sf-market-500,3004.2803,0.0,0.013582749366760254
47,sf-market-500,176.37994,0.0,0.013582749366760254
48,sf-market-500,14355.346,0.0,0.013582749366760254
49,sf-market-500,7158.1787,0.0,0.013582749366760254
50,sf-market-500,824.2373,0.0,0.013582749366760254
51,sf-market-500,3083.7593,0.0,0.013582749366760254
52,sf-market-500,656.2721,0.0,0.013582749366760254
53,sf-market-500,417.28882,0.0,0.013582749366760254
54,sf-market-500,435.66672,0.0,0.013582749366760254
55,sf-market-500,324.24246,0.0,0.013582749366760254
56,sf-market-500,326.84012,0.0,0.013582749366760254
57,sf-market-500,346.5467,0.0,0.013582749366760254
58,sf-market-500,1268.6847,0.0,0.013582749366760254
59,sf-market-500,340.55542,0.0,0.013582749366760254
60,sf-market-500,16976.883,0.0,0.013582749366760254
61,sf-market-500,125.02371,0.0,0.013582749366760254
62,sf-market-500,8346.629,0.0,0.013582749366760254
63,sf-market-500,537.18945,0.0,0.013582749366760254
64,sf-market-500,2476.2134,0.0,0.013582749366760254
65,sf-market-500,115.31321,0.0,0.013582749366760254
66,sf-market-500,12613.464,0.0,0.013582749366760254
67,sf-market-500,147.45078,0.0,0.013582749366760254
68,sf-market-500,7031.773,0.0,0.013582749366760254
69,sf-market-500,14223.042,0.0,0.013582749366760254
70,sf-market-500,4024.4402,0.0,0.013582749366760254
71,sf-market-500,12299.195,0.0,0.013582749366760254
72,sf-market-500,1010.8781,0.0,0.013582749366760254
73,sf-market-500,4382.2837,0.0,0.013582749366760254
74,sf-market-500,268.29926,0.0,0.013582749366760254
75,sf-market-500,412.2159,0.0,0.013582749366760254
76,sf-market-500,2917.3083,0.0,0.013582749366760254
77,sf-market-500,171.01927,0.0,0.013582749366760254
78,sf-market-500,1222.6798,0.0,0.013582749366760254
79,sf-market-500,1391.9928,0.0,0.013582749366760254
80,sf-market-500,822.516,0.0,0.013582749366760254
81,sf-market-500,2057.7932,0.0,0.013582749366760254
82,sf-market-500,1981.0372,0.0,0.013582749366760254
83,sf-market-500,9854.605,0.0,0.013582749366760254
84,sf-market-500,122.88992,0.0,0.013582749366760254
85,sf-market-500,241.39763,0.0,0.013582749366760254
86,sf-market-500,532.4501,0.0,0.013582749366760254
87,sf-market-500,169.50171,0.0,0.013582749366760254
88,sf-market-500,225.39966,0.0,0.013582749366760254
89,sf-market-500,162.46002,0.0,0.013582749366760254
90,sf-market-500,9752.5625,0.0,0.013582749366760254
91,sf-market-500,9483.08,0.0,0.013582749366760254
92,sf-market-500,6207.2485,0.0,0.013582749366760254
93,sf-market-500,276.83646,0.0,0.013582749366760254
94,sf-market-500,2648.895,0.0,0.013582749366760254
95,sf-market-500,85.63735,0.0,0.013582749366760254
96,sf-market-500,1621.1548,0.0,0.013582749366760254
97,sf-market-500,560.05786,0.0,0.013582749366760254
98,sf-market-500,247.34872,0.0,0.013582749366760254
99,sf-market-500,1526.2949,0.0,0.013582749366760254
100,sf-market-500,273.42493,0.0,0.013062965869903565
101,sf-market-500,6036.085,0.0,0.013062965869903565
102,sf-market-500,6716.9336,0.0,0.013062965869903565
103,sf-market-500,148.35233,0.0,0.013062965869903565
104,sf-market-500,182.314,0.0,0.013062965869903565
105,sf-market-500,232.02582,0.0,0.013062965869903565
106,sf-market-500,111.821266,0.0,0.013062965869903565
107,sf-market-500,8482.093,0.0,0.013062965869903565
108,sf-market-500,353.844,0.0,0.013062965869903565
109,sf-market-500,283.13324,0.0,0.013062965869903565
110,sf-market-500,9801.905,0.0,0.013062965869903565
111,sf-market-500,187.2995,0.0,0.013062965869903565
112,sf-market-500,2582.1523,0.0,0.013062965869903565
113,sf-market-500,417.39902,0.0,0.013062965869903565
114,sf-market-500,808.58875,0.0,0.013062965869903565
115,sf-market-500,10845.209,0.0,0.013062965869903565
116,sf-market-500,359.56934,0.0,0.013062965869903565
117,sf-market-500,136.17746,0.0,0.013062965869903565
118,sf-market-500,470.1488,0.0,0.013062965869903565
119,sf-market-500,822.0239,0.0,0.013062965869903565
120,sf-market-500,506.27682,0.0,0.013062965869903565
121,sf-market-500,111.201614,0.0,0.013062965869903565
122,sf-market-500,10638.379,0.0,0.013062965869903565
123,sf-market-500,5556.9873,0.0,0.013062965869903565
124,sf-market-500,640.8404,0.0,0.013062965869903565
125,sf-market-500,8444.926,0.0,0.013062965869903565
126,sf-market-500,194.07442,0.0,0.013062965869903565
127,sf-market-500,427.7438,0.0,0.013062965869903565
128,sf-market-500,210.60086,0.0,0.013062965869903565
129,sf-market-500,2573.9158,0.0,0.013062965869903565
130,sf-market-500,162.56618,0.0,0.013062965869903565
131,sf-market-500,6521.6973,0.0,0.013062965869903565
132,sf-market-500,8353.0205,0.0,0.013062965869903565
133,sf-market-500,89.02544,0.0,0.013062965869903565
134,sf-market-500,105.94,0.0,0.013062965869903565
135,sf-market-500,1190.9318,0.0,0.013062965869903565
136,sf-market-500,126.11195,0.0,0.013062965869903565
137,sf-market-500,917.77893,0.0,0.013062965869903565
138,sf-market-500,410.74158,0.0,0.013062965869903565
139,sf-market-500,402.00476,0.0,0.013062965869903565
140,sf-market-500,222.6498,0.0,0.013062965869903565
141,sf-market-500,8510.926,0.0,0.013062965869903565
142,sf-market-500,307.7012,0.0,0.013062965869903565
143,sf-market-500,13320.114,0.0,0.013062965869903565
144,sf-market-500,9978.204,0.0,0.013062965869903565
145,sf-market-500,109.70476,0.0,0.013062965869903565
146,sf-market-500,201.7681,0.0,0.013062965869903565
147,sf-market-500,179.57602,0.0,0.013062965869903565
148,sf-market-500,548.7563,0.0,0.013062965869903565
149,sf-market-500,788.2241,0.0,0.013062965869903565
150,sf-market-500,96.75343,0.0,0.013062965869903565
151,sf-market-500,11799.271,0.0,0.013062965869903565
152,sf-market-500,480.02408,0.0,0.013062965869903565
153,sf-market-500,175.1102,0.0,0.013062965869903565
154,sf-market-500,356.86917,0.0,0.013062965869903565
155,sf-market-500,78.71729,0.0,0.013062965869903565
156,sf-market-500,5259.078,0.0,0.013062965869903565
157,sf-market-500,264.46277,0.0,0.013062965869903565
158,sf-market-500,2429.9663,0.0,0.013062965869903565
159,sf-market-500,134.80612,0.0,0.013062965869903565
160,sf-market-500,554.5924,0.0,0.013062965869903565
161,sf-market-500,138.42459,0.0,0.013062965869903565
162,sf-market-500,1057.6602,0.0,0.013062965869903565
163,sf-market-500,359.71463,0.0,0.013062965869903565
164,sf-market-500,353.29764,0.0,0.013062965869903565
165,sf-market-500,888.9225,0.0,0.013062965869903565
166,sf-market-500,8937.161,0.0,0.013062965869903565
167,sf-market-500,265.8277,0.0,0.013062965869903565
168,sf-market-500,9862.327,0.0,0.013062965869903565
169,sf-market-500,75.77788,0.0,0.013062965869903565
170,sf-market-500,13289.332,0.0,0.013062965869903565
171,sf-market-500,1318.0992,0.0,0.013062965869903565
172,sf-market-500,93.54405,0.0,0.013062965869903565
173,sf-market-500,258.07742,0.0,0.013062965869903565
174,sf-market-500,6594.6045,0.0,0.013062965869903565
175,sf-market-500,106.275375,0.0,0.013062965869903565
176,sf-market-500,238.02525,0.0,0.013062965869903565
177,sf-market-500,228.73813,0.0,0.013062965869903565
178,sf-market-500,237.39523,0.0,0.013062965869903565
179,sf-market-500,534.206,0.0,0.013062965869903565
180,sf-market-500,98.68095,0.0,0.013062965869903565
181,sf-market-500,1542.9574,0.0,0.013062965869903565
182,sf-market-500,9160.189,0.0,0.013062965869903565
183,sf-market-500,638.938,0.0,0.013062965869903565
184,sf-market-500,110.35277,0.0,0.013062965869903565
185,sf-market-500,114.87422,0.0,0.013062965869903565
186,sf-market-500,1029.9175,0.0,0.013062965869903565
187,sf-market-500,1363.382,0.0,0.013062965869903565
188,sf-market-500,16569.504,0.0,0.013062965869903565
189,sf-market-500,11793.487,0.0,0.013062965869903565
190,sf-market-500,756.63196,0.0,0.013062965869903565
191,sf-market-500,17700.16,0.0,0.013062965869903565
192,sf-market-500,240.40608,0.0,0.013062965869903565
193,sf-market-500,259.2091,0.0,0.013062965869903565
194,sf-market-500,6657.0337,0.0,0.013062965869903565
195,sf-market-500,107.75772,0.0,0.013062965869903565
196,sf-market-500,327.52823,0.0,0.013062965869903565
197,sf-market-500,2372.098,0.0,0.013062965869903565
198,sf-market-500,9015.169,0.0,0.013062965869903565
199,sf-market-500,114.41246,0.0,0.013062965869903565
200,sf-market-500,278.9753,0.0,0.012946615219116211
201,sf-market-500,292.1024,0.0,0.012946615219116211
202,sf-market-500,4015.733,0.0,0.012946615219116211
203,sf-market-500,139.77563,0.0,0.012946615219116211
204,sf-market-500,152.79994,0.0,0.012946615219116211
205,sf-market-500,467.39383,0.0,0.012946615219116211
206,sf-market-500,2629.702,0.0,0.012946615219116211
207,sf-market-500,123.76706,0.0,0.012946615219116211
208,sf-market-500,4886.912,0.0,0.012946615219116211
209,sf-market-500,6988.1826,0.0,0.012946615219116211
210,sf-market-500,1080.2673,0.0,0.012946615219116211
211,sf-market-500,141.96567,0.0,0.012946615219116211
212,sf-market-500,2970.573,0.0,0.012946615219116211
213,sf-market-500,214.35135,0.0,0.012946615219116211
214,sf-market-500,9552.175,0.0,0.012946615219116211
215,sf-market-500,167.47128,0.0,0.012946615219116211
216,sf-market-500,183.871,0.0,0.012946615219116211
217,sf-market-500,94.74788,0.0,0.012946615219116211
218,sf-market-500,152.38693,0.0,0.012946615219116211
219,sf-market-500,116.1392,0.0,0.012946615219116211
220,sf-market-500,179.57283,0.0,0.012946615219116211
221,sf-market-500,7729.2627,0.0,0.012946615219116211
222,sf-market-500,495.59064,0.0,0.012946615219116211
223,sf-market-500,2085.2778,0.0,0.012946615219116211
224,sf-market-500,8572.289,0.0,0.012946615219116211
225,sf-market-500,247.09259,0.0,0.012946615219116211
226,sf-market-500,507.87836,0.0,0.012946615219116211
227,sf-market-500,1250.3262,0.0,0.012946615219116211
228,sf-market-500,6288.42,0.0,0.012946615219116211
229,sf-market-500,481.72906,0.0,0.012946615219116211
230,sf-market-500,275.0256,0.0,0.012946615219116211
231,sf-market-500,273.1678,0.0,0.012946615219116211
232,sf-market-500,136.3236,0.0,0.012946615219116211
233,sf-market-500,134.17058,0.0,0.012946615219116211
234,sf-market-500,2050.1313,0.0,0.012946615219116211
235,sf-market-500,886.90094,0.0,0.012946615219116211
236,sf-market-500,7767.4487,0.0,0.012946615219116211
237,sf-market-500,2558.455,0.0,0.012946615219116211
