Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,sf-market-500,3.6591856,2.5230498,0.061009159088134764
1,sf-market-500,1.8753253,1.3845924,0.061009159088134764
2,sf-market-500,2.2060022,1.5146137,0.061009159088134764
3,sf-market-500,2.4412692,1.9055846,0.061009159088134764
4,sf-market-500,2.4637153,1.5524671,0.061009159088134764
5,sf-market-500,3.0463638,1.8289323,0.061009159088134764
6,sf-market-500,3.0324717,2.1305864,0.061009159088134764
7,sf-market-500,1.5415806,1.0296202,0.061009159088134764
8,sf-market-500,2.307787,1.7860594,0.061009159088134764
9,sf-market-500,2.9340644,2.0809808,0.061009159088134764
10,sf-market-500,2.112537,1.3514264,0.061009159088134764
11,sf-market-500,2.577989,1.5280132,0.061009159088134764
12,sf-market-500,2.9203994,2.0107658,0.061009159088134764
13,sf-market-500,3.202003,1.6772026,0.061009159088134764
14,sf-market-500,2.9073973,2.315117,0.061009159088134764
15,sf-market-500,2.904676,1.9399815,0.061009159088134764
16,sf-market-500,1.68139,1.1606522,0.061009159088134764
17,sf-market-500,2.286284,1.4902923,0.061009159088134764
18,sf-market-500,2.3905222,1.7515967,0.061009159088134764
19,sf-market-500,2.424601,1.6803002,0.061009159088134764
20,sf-market-500,2.0710921,1.255043,0.061009159088134764
21,sf-market-500,2.458076,1.729327,0.061009159088134764
22,sf-market-500,2.8766615,1.9938703,0.061009159088134764
23,sf-market-500,2.3460226,1.567091,0.061009159088134764
24,sf-market-500,2.1854482,1.4917002,0.061009159088134764
25,sf-market-500,3.4381282,1.8198388,0.061009159088134764
26,sf-market-500,1.9639496,1.2504578,0.061009159088134764
27,sf-market-500,2.6662767,2.0130546,0.061009159088134764
28,sf-market-500,2.098011,1.2804551,0.061009159088134764
29,sf-market-500,1.8046346,1.2382492,0.061009159088134764
30,sf-market-500,2.4684653,1.9188809,0.061009159088134764
31,sf-market-500,2.7687535,1.9174261,0.061009159088134764
32,sf-market-500,1.8056079,1.2309034,0.061009159088134764
33,sf-market-500,2.2218642,1.4587742,0.061009159088134764
34,sf-market-500,3.4610004,2.6268587,0.061009159088134764
35,sf-market-500,2.033515,1.3857011,0.061009159088134764
36,sf-market-500,3.2091565,2.4887583,0.061009159088134764
37,sf-market-500,3.320434,2.4711995,0.061009159088134764
38,sf-market-500,1.9273539,1.3837631,0.061009159088134764
39,sf-market-500,1.9692067,1.2010591,0.061009159088134764
40,sf-market-500,2.5477433,1.6731412,0.061009159088134764
41,sf-market-500,1.7647194,1.1954131,0.061009159088134764
42,sf-market-500,2.4244525,1.5564611,0.061009159088134764
43,sf-market-500,2.67174,1.7323098,0.061009159088134764
44,sf-market-500,2.4252257,1.5732687,0.061009159088134764
45,sf-market-500,2.3834734,1.4410386,0.061009159088134764
46,sf-market-500,1.7230306,1.1478239,0.061009159088134764
47,sf-market-500,2.8544624,1.8922112,0.061009159088134764
48,sf-market-500,2.9280732,2.1382778,0.061009159088134764
49,sf-market-500,2.2082515,1.4424968,0.061009159088134764
50,sf-market-500,3.2217205,1.7008765,0.061009159088134764
51,sf-market-500,2.0227616,1.2887703,0.061009159088134764
52,sf-market-500,1.8734801,1.2553496,0.061009159088134764
53,sf-market-500,2.2881448,1.7645903,0.061009159088134764
54,sf-market-500,2.315784,1.7616056,0.061009159088134764
55,sf-market-500,2.324167,1.5488112,0.061009159088134764
56,sf-market-500,1.7959163,1.2370617,0.061009159088134764
57,sf-market-500,2.2848659,1.5632944,0.061009159088134764
58,sf-market-500,1.6437321,1.0948408,0.061009159088134764
59,sf-market-500,2.6201363,1.5255387,0.061009159088134764
60,sf-market-500,3.735363,2.6458888,0.061009159088134764
61,sf-market-500,2.2521594,1.4251221,0.061009159088134764
62,sf-market-500,2.467543,1.6299386,0.061009159088134764
63,sf-market-500,1.9491192,1.2176505,0.061009159088134764
64,sf-market-500,1.9117308,1.2703815,0.061009159088134764
65,sf-market-500,2.3608756,1.5924289,0.061009159088134764
66,sf-market-500,2.72499,1.8520999,0.061009159088134764
67,sf-market-500,2.8377736,1.8204937,0.061009159088134764
68,sf-market-500,2.8466125,2.0833397,0.061009159088134764
69,sf-market-500,2.6129584,1.8188306,0.061009159088134764
70,sf-market-500,2.222354,1.6353335,0.061009159088134764
71,sf-market-500,2.574449,1.6271379,0.061009159088134764
72,sf-market-500,1.8689011,1.4145904,0.061009159088134764
73,sf-market-500,1.8144345,1.2604909,0.061009159088134764
74,sf-market-500,2.8364937,1.8461009,0.061009159088134764
75,sf-market-500,2.2621582,1.704775,0.061009159088134764
76,sf-market-500,2.0959527,1.3507488,0.061009159088134764
77,sf-market-500,2.4870858,1.5649462,0.061009159088134764
78,sf-market-500,2.3148952,1.2884287,0.061009159088134764
79,sf-market-500,1.8654803,1.2280464,0.061009159088134764
80,sf-market-500,2.3421726,1.5995264,0.061009159088134764
81,sf-market-500,3.5668902,2.2589302,0.061009159088134764
82,sf-market-500,1.9297408,1.4296443,0.061009159088134764
83,sf-market-500,2.2853565,1.4919767,0.061009159088134764
84,sf-market-500,2.3154368,1.6299425,0.061009159088134764
85,sf-market-500,2.1268396,1.5648899,0.061009159088134764
86,sf-market-500,2.9801812,2.003018,0.061009159088134764
87,sf-market-500,2.4403756,1.6579883,0.061009159088134764
88,sf-market-500,2.3448524,1.5019418,0.061009159088134764
89,sf-market-500,3.3305826,2.4468937,0.061009159088134764
90,sf-market-500,2.9464417,1.5793711,0.061009159088134764
91,sf-market-500,1.9625294,1.3966229,0.061009159088134764
92,sf-market-500,2.001956,1.4270694,0.061009159088134764
93,sf-market-500,2.682951,1.720017,0.061009159088134764
94,sf-market-500,2.229734,1.4658878,0.061009159088134764
95,sf-market-500,2.094697,1.3526788,0.061009159088134764
96,sf-market-500,2.2188368,1.3063669,0.061009159088134764
97,sf-market-500,2.1266274,1.3784626,0.061009159088134764
98,sf-market-500,1.9452665,1.3953204,0.061009159088134764
99,sf-market-500,1.8820868,1.304696,0.061009159088134764
100,sf-market-500,1.9740598,1.4899781,0.01835843563079834
101,sf-market-500,2.0175476,1.3817725,0.01835843563079834
102,sf-market-500,2.066831,1.362242,0.01835843563079834
103,sf-market-500,2.248012,1.4668006,0.01835843563079834
104,sf-market-500,2.984087,2.4093971,0.01835843563079834
105,sf-market-500,1.9395365,1.1915971,0.01835843563079834
106,sf-market-500,2.3114793,1.629848,0.01835843563079834
107,sf-market-500,2.1671195,1.3809652,0.01835843563079834
108,sf-market-500,2.2766883,1.7054102,0.01835843563079834
109,sf-market-500,2.4366033,1.5468035,0.01835843563079834
110,sf-market-500,2.3796833,1.5420135,0.01835843563079834
111,sf-market-500,2.719245,1.7168248,0.01835843563079834
112,sf-market-500,2.7096634,1.8313974,0.01835843563079834
113,sf-market-500,2.5502234,1.9004152,0.01835843563079834
114,sf-market-500,3.2478054,2.481322,0.01835843563079834
115,sf-market-500,2.4565673,1.5551801,0.01835843563079834
116,sf-market-500,2.184176,1.4492918,0.01835843563079834
117,sf-market-500,2.2367558,1.4775391,0.01835843563079834
118,sf-market-500,2.070963,1.4066917,0.01835843563079834
119,sf-market-500,3.2168431,2.4991817,0.01835843563079834
120,sf-market-500,2.505865,1.8287909,0.01835843563079834
121,sf-market-500,2.3258371,1.3904963,0.01835843563079834
122,sf-market-500,2.482079,1.7571206,0.01835843563079834
123,sf-market-500,1.993767,1.3824775,0.01835843563079834
124,sf-market-500,1.8489454,1.327013,0.01835843563079834
125,sf-market-500,2.982195,2.2882226,0.01835843563079834
126,sf-market-500,2.1982434,1.4347281,0.01835843563079834
127,sf-market-500,2.3938088,1.8143332,0.01835843563079834
128,sf-market-500,2.5357087,1.7508022,0.01835843563079834
129,sf-market-500,3.4887342,2.1216838,0.01835843563079834
130,sf-market-500,3.053341,2.2540262,0.01835843563079834
131,sf-market-500,2.827103,2.2064958,0.01835843563079834
132,sf-market-500,2.222313,1.3909235,0.01835843563079834
133,sf-market-500,2.1404324,1.4280918,0.01835843563079834
134,sf-market-500,2.603745,1.8824403,0.01835843563079834
135,sf-market-500,1.9264727,1.4394081,0.01835843563079834
136,sf-market-500,2.7645397,1.9132226,0.01835843563079834
137,sf-market-500,3.760178,3.0307298,0.01835843563079834
138,sf-market-500,1.7613013,1.1040385,0.01835843563079834
139,sf-market-500,3.1568737,2.197729,0.01835843563079834
140,sf-market-500,3.569105,2.2368233,0.01835843563079834
141,sf-market-500,2.5884614,1.6118321,0.01835843563079834
142,sf-market-500,2.9742954,2.343884,0.01835843563079834
143,sf-market-500,2.5492806,1.7961974,0.01835843563079834
144,sf-market-500,2.8699782,1.8638039,0.01835843563079834
145,sf-market-500,2.2058823,1.329612,0.01835843563079834
146,sf-market-500,3.1979403,1.9999948,0.01835843563079834
147,sf-market-500,3.4956336,2.8886607,0.01835843563079834
148,sf-market-500,1.7498263,1.0998487,0.01835843563079834
149,sf-market-500,2.4552062,1.6471976,0.01835843563079834
150,sf-market-500,2.9413548,1.7401597,0.01835843563079834
151,sf-market-500,2.398576,1.6743431,0.01835843563079834
152,sf-market-500,3.2329612,2.2819035,0.01835843563079834
153,sf-market-500,2.8451142,2.1943517,0.01835843563079834
154,sf-market-500,1.8847969,1.1456577,0.01835843563079834
155,sf-market-500,2.1961484,1.4132111,0.01835843563079834
156,sf-market-500,2.4938507,1.5919614,0.01835843563079834
157,sf-market-500,2.0915413,1.4705534,0.01835843563079834
158,sf-market-500,2.2002628,1.5911832,0.01835843563079834
159,sf-market-500,2.454421,1.7624438,0.01835843563079834
160,sf-market-500,1.836849,1.0981007,0.01835843563079834
161,sf-market-500,2.6410003,2.0391123,0.01835843563079834
162,sf-market-500,1.7710185,1.1643572,0.01835843563079834
163,sf-market-500,2.0963972,1.3987184,0.01835843563079834
164,sf-market-500,2.2467208,1.4575562,0.01835843563079834
165,sf-market-500,1.8692544,1.2476643,0.01835843563079834
166,sf-market-500,2.6460578,1.4992203,0.01835843563079834
167,sf-market-500,2.4743114,1.7887532,0.01835843563079834
168,sf-market-500,2.927511,2.006224,0.01835843563079834
169,sf-market-500,2.8046389,1.8071312,0.01835843563079834
170,sf-market-500,2.8391347,2.0147896,0.01835843563079834
171,sf-market-500,2.2162302,1.4937775,0.01835843563079834
172,sf-market-500,2.6529365,1.8530965,0.01835843563079834
173,sf-market-500,2.3930087,1.6589941,0.01835843563079834
174,sf-market-500,2.0903225,1.3443099,0.01835843563079834
175,sf-market-500,2.47026,1.7430589,0.01835843563079834
176,sf-market-500,1.7918332,1.1342752,0.01835843563079834
177,sf-market-500,1.909385,1.3092395,0.01835843563079834
178,sf-market-500,1.9737358,1.2178967,0.01835843563079834
179,sf-market-500,2.2600906,1.4039457,0.01835843563079834
180,sf-market-500,1.9397155,1.2410842,0.01835843563079834
181,sf-market-500,1.6568044,1.1707659,0.01835843563079834
182,sf-market-500,2.2496157,1.4971707,0.01835843563079834
183,sf-market-500,1.7051249,1.1868646,0.01835843563079834
184,sf-market-500,2.1984363,1.3587594,0.01835843563079834
185,sf-market-500,2.572969,1.5326325,0.01835843563079834
186,sf-market-500,2.3121185,1.3428631,0.01835843563079834
187,sf-market-500,2.472343,1.6718495,0.01835843563079834
188,sf-market-500,3.572075,2.5380619,0.01835843563079834
189,sf-market-500,2.6465914,1.8320341,0.01835843563079834
190,sf-market-500,1.6174544,1.0255432,0.01835843563079834
191,sf-market-500,3.2366304,2.2937748,0.01835843563079834
192,sf-market-500,3.9654746,3.048715,0.01835843563079834
193,sf-market-500,2.1298902,1.3473909,0.01835843563079834
194,sf-market-500,2.2574334,1.5129337,0.01835843563079834
195,sf-market-500,2.5969431,1.8504038,0.01835843563079834
196,sf-market-500,2.1427026,1.4190123,0.01835843563079834
197,sf-market-500,1.7144196,1.1565325,0.01835843563079834
198,sf-market-500,1.9933091,1.3494546,0.01835843563079834
199,sf-market-500,2.0718296,1.360565,0.01835843563079834
200,sf-market-500,2.4764729,1.8427694,0.02063997268676758
201,sf-market-500,2.3346887,1.770929,0.02063997268676758
202,sf-market-500,1.8504931,1.2317976,0.02063997268676758
203,sf-market-500,2.6318493,1.7240007,0.02063997268676758
204,sf-market-500,2.7947636,2.1188953,0.02063997268676758
205,sf-market-500,1.6981564,1.1469775,0.02063997268676758
206,sf-market-500,1.7440095,1.1612524,0.02063997268676758
207,sf-market-500,3.412509,2.6677349,0.02063997268676758
208,sf-market-500,1.7038052,1.1123407,0.02063997268676758
209,sf-market-500,2.5753374,1.6151507,0.02063997268676758
210,sf-market-500,2.075191,1.3406708,0.02063997268676758
211,sf-market-500,3.6620975,2.0147624,0.02063997268676758
212,sf-market-500,6.412141,1.9913775,0.02063997268676758
213,sf-market-500,2.4883945,1.7530233,0.02063997268676758
214,sf-market-500,2.107082,1.3876123,0.02063997268676758
215,sf-market-500,2.4072962,1.4676135,0.02063997268676758
216,sf-market-500,3.1309962,2.546968,0.02063997268676758
217,sf-market-500,2.4411728,1.7172271,0.02063997268676758
218,sf-market-500,2.2692592,1.4262644,0.02063997268676758
219,sf-market-500,3.1819494,1.8187673,0.02063997268676758
220,sf-market-500,2.869845,2.247139,0.02063997268676758
221,sf-market-500,2.019414,1.3939623,0.02063997268676758
222,sf-market-500,1.8503891,1.4108113,0.02063997268676758
223,sf-market-500,2.2965958,1.3957443,0.02063997268676758
224,sf-market-500,2.524712,1.7980765,0.02063997268676758
225,sf-market-500,1.9243593,1.2101828,0.02063997268676758
226,sf-market-500,2.2474334,1.3291147,0.02063997268676758
227,sf-market-500,2.2828858,1.4946748,0.02063997268676758
228,sf-market-500,1.8438865,1.2335416,0.02063997268676758
229,sf-market-500,1.7702198,1.1709863,0.02063997268676758
230,sf-market-500,2.1183903,1.5650909,0.02063997268676758
231,sf-market-500,2.0662827,1.268784,0.02063997268676758
232,sf-market-500,2.4345458,1.6963952,0.02063997268676758
233,sf-market-500,2.588367,1.855165,0.02063997268676758
234,sf-market-500,4.0959344,3.29914,0.02063997268676758
235,sf-market-500,2.0296884,1.5248255,0.02063997268676758
236,sf-market-500,1.845565,1.2433674,0.02063997268676758
237,sf-market-500,1.8143262,1.1994112,0.02063997268676758
238,sf-market-500,2.91224,2.188705,0.02063997268676758
239,sf-market-500,3.1586986,2.0870185,0.02063997268676758
240,sf-market-500,4.4604664,3.565733,0.02063997268676758
241,sf-market-500,2.0492425,1.2892206,0.02063997268676758
242,sf-market-500,2.199646,1.5628829,0.02063997268676758
243,sf-market-500,2.3826668,1.8396134,0.02063997268676758
244,sf-market-500,1.5655123,1.0346196,0.02063997268676758
245,sf-market-500,1.8859644,1.262896,0.02063997268676758
246,sf-market-500,2.4265914,1.487005,0.02063997268676758
247,sf-market-500,2.0144944,1.2950783,0.02063997268676758
248,sf-market-500,1.8054774,1.3479494,0.02063997268676758
249,sf-market-500,2.2907383,1.5408609,0.02063997268676758
250,sf-market-500,2.534957,1.768158,0.02063997268676758
251,sf-market-500,2.0731354,1.3629866,0.02063997268676758
252,sf-market-500,2.5677934,1.8191485,0.02063997268676758
253,sf-market-500,2.5122933,1.8307655,0.02063997268676758
254,sf-market-500,1.7388636,1.209142,0.02063997268676758
255,sf-market-500,2.8122985,1.8700788,0.02063997268676758
256,sf-market-500,2.590586,1.5622282,0.02063997268676758
257,sf-market-500,3.1310549,2.5297668,0.02063997268676758
258,sf-market-500,2.837534,2.2152267,0.02063997268676758
259,sf-market-500,2.9258652,1.8698468,0.02063997268676758
260,sf-market-500,2.6599019,1.9928391,0.02063997268676758
261,sf-market-500,2.9526863,1.9358194,0.02063997268676758
262,sf-market-500,4.217656,2.3236313,0.02063997268676758
263,sf-market-500,2.6354866,2.0347135,0.02063997268676758
264,sf-market-500,2.2199702,1.4559329,0.02063997268676758
265,sf-market-500,3.2812908,1.8395853,0.02063997268676758
266,sf-market-500,2.2922778,1.4169075,0.02063997268676758
267,sf-market-500,1.7740684,1.1496588,0.02063997268676758
268,sf-market-500,2.1361995,1.4394919,0.02063997268676758
269,sf-market-500,2.9047492,2.3120077,0.02063997268676758
270,sf-market-500,2.5252943,1.7634361,0.02063997268676758
271,sf-market-500,2.5888524,1.8391464,0.02063997268676758
