Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,sf-market-500,3.201362,2.5668163,0.04350151777267456
1,sf-market-500,1.9593781,1.4062464,0.04350151777267456
2,sf-market-500,2.107523,1.5709432,0.04350151777267456
3,sf-market-500,2.3832698,1.9168894,0.04350151777267456
4,sf-market-500,2.2427607,1.5803169,0.04350151777267456
5,sf-market-500,3.144491,1.8420677,0.04350151777267456
6,sf-market-500,2.6961331,2.1624756,0.04350151777267456
7,sf-market-500,1.4988042,1.0502212,0.04350151777267456
8,sf-market-500,2.2407293,1.7949922,0.04350151777267456
9,sf-market-500,2.8055875,2.1276288,0.04350151777267456
10,sf-market-500,1.8975016,1.3734016,0.04350151777267456
11,sf-market-500,2.1264024,1.5540606,0.04350151777267456
12,sf-market-500,2.6246033,2.0566018,0.04350151777267456
13,sf-market-500,2.5645342,1.6980498,0.04350151777267456
14,sf-market-500,2.745192,2.307929,0.04350151777267456
15,sf-market-500,3.8237715,1.9392338,0.04350151777267456
16,sf-market-500,1.5606166,1.1817876,0.04350151777267456
17,sf-market-500,2.252913,1.4965625,0.04350151777267456
18,sf-market-500,2.160544,1.7871945,0.04350151777267456
19,sf-market-500,2.2026849,1.7186188,0.04350151777267456
20,sf-market-500,1.7931716,1.2717327,0.04350151777267456
21,sf-market-500,2.4039965,1.730312,0.04350151777267456
22,sf-market-500,2.8880801,1.9784575,0.04350151777267456
23,sf-market-500,2.2938619,1.5882502,0.04350151777267456
24,sf-market-500,1.9449755,1.5239241,0.04350151777267456
25,sf-market-500,2.263482,1.8511825,0.04350151777267456
26,sf-market-500,1.694845,1.2744095,0.04350151777267456
27,sf-market-500,2.459413,2.065867,0.04350151777267456
28,sf-market-500,1.8614249,1.3065896,0.04350151777267456
29,sf-market-500,1.7637224,1.2568719,0.04350151777267456
30,sf-market-500,3.501039,1.9253962,0.04350151777267456
31,sf-market-500,2.4368234,1.9559922,0.04350151777267456
32,sf-market-500,1.7051003,1.2423246,0.04350151777267456
33,sf-market-500,1.937765,1.4844204,0.04350151777267456
34,sf-market-500,3.1274529,2.6017022,0.04350151777267456
35,sf-market-500,1.9340917,1.4157677,0.04350151777267456
36,sf-market-500,3.004017,2.4970174,0.04350151777267456
37,sf-market-500,3.1149707,2.5370884,0.04350151777267456
38,sf-market-500,1.8689475,1.3961315,0.04350151777267456
39,sf-market-500,1.8461707,1.2216179,0.04350151777267456
40,sf-market-500,2.674875,1.6755086,0.04350151777267456
41,sf-market-500,1.758031,1.2161431,0.04350151777267456
42,sf-market-500,2.0727422,1.5746783,0.04350151777267456
43,sf-market-500,2.2834573,1.7498411,0.04350151777267456
44,sf-market-500,2.2166157,1.6015131,0.04350151777267456
45,sf-market-500,2.1776705,1.4581798,0.04350151777267456
46,sf-market-500,1.618724,1.1797168,0.04350151777267456
47,sf-market-500,2.6241417,1.887785,0.04350151777267456
48,sf-market-500,2.618473,2.1546316,0.04350151777267456
49,sf-market-500,2.1807523,1.458812,0.04350151777267456
50,sf-market-500,2.6028883,1.7197347,0.04350151777267456
51,sf-market-500,2.0532308,1.3198926,0.04350151777267456
52,sf-market-500,1.7272137,1.2839038,0.04350151777267456
53,sf-market-500,2.4677796,1.767067,0.04350151777267456
54,sf-market-500,2.312142,1.7913125,0.04350151777267456
55,sf-market-500,1.986406,1.5718231,0.04350151777267456
56,sf-market-500,1.7733002,1.2626933,0.04350151777267456
57,sf-market-500,2.068831,1.5710617,0.04350151777267456
58,sf-market-500,1.5640416,1.1213481,0.04350151777267456
59,sf-market-500,2.156869,1.5518601,0.04350151777267456
60,sf-market-500,3.3069205,2.6454964,0.04350151777267456
61,sf-market-500,2.0583086,1.4518981,0.04350151777267456
62,sf-market-500,2.3490984,1.6387185,0.04350151777267456
63,sf-market-500,1.8185458,1.2356805,0.04350151777267456
64,sf-market-500,1.9240769,1.287927,0.04350151777267456
65,sf-market-500,2.1148932,1.636827,0.04350151777267456
66,sf-market-500,2.4904394,1.8991203,0.04350151777267456
67,sf-market-500,2.4886708,1.8236766,0.04350151777267456
68,sf-market-500,2.945618,2.1107621,0.04350151777267456
69,sf-market-500,2.348871,1.8550379,0.04350151777267456
70,sf-market-500,2.1751807,1.6383351,0.04350151777267456
71,sf-market-500,2.1505458,1.6624563,0.04350151777267456
72,sf-market-500,1.836391,1.4309396,0.04350151777267456
73,sf-market-500,1.7269222,1.2782012,0.04350151777267456
74,sf-market-500,2.4391344,1.8799248,0.04350151777267456
75,sf-market-500,2.2024727,1.7266397,0.04350151777267456
76,sf-market-500,2.1363268,1.3625413,0.04350151777267456
77,sf-market-500,2.2699614,1.580564,0.04350151777267456
78,sf-market-500,2.2407024,1.3058984,0.04350151777267456
79,sf-market-500,2.121956,1.2458278,0.04350151777267456
80,sf-market-500,2.0776596,1.6309774,0.04350151777267456
81,sf-market-500,3.5655189,2.3446229,0.04350151777267456
82,sf-market-500,2.121509,1.4506217,0.04350151777267456
83,sf-market-500,2.010433,1.5113997,0.04350151777267456
84,sf-market-500,2.070859,1.6713202,0.04350151777267456
85,sf-market-500,2.210548,1.5828397,0.04350151777267456
86,sf-market-500,2.8436556,2.0260947,0.04350151777267456
87,sf-market-500,2.128727,1.6925108,0.04350151777267456
88,sf-market-500,2.0095768,1.5306256,0.04350151777267456
89,sf-market-500,3.083981,2.4456794,0.04350151777267456
90,sf-market-500,2.117671,1.6055869,0.04350151777267456
91,sf-market-500,1.8546813,1.4139901,0.04350151777267456
92,sf-market-500,1.89139,1.4520502,0.04350151777267456
93,sf-market-500,2.351246,1.7603143,0.04350151777267456
94,sf-market-500,2.201767,1.4952366,0.04350151777267456
95,sf-market-500,1.8871816,1.3894132,0.04350151777267456
96,sf-market-500,2.494494,1.319719,0.04350151777267456
97,sf-market-500,1.9247227,1.4043791,0.04350151777267456
98,sf-market-500,1.8343585,1.4069786,0.04350151777267456
99,sf-market-500,1.8123403,1.3317146,0.04350151777267456
100,sf-market-500,1.9180928,1.5079081,0.015762667655944824
101,sf-market-500,1.8742372,1.3954449,0.015762667655944824
102,sf-market-500,2.008886,1.4015192,0.015762667655944824
103,sf-market-500,1.9444908,1.4983106,0.015762667655944824
