Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,sf-market-500,3.3980124,2.5668736,0.049386160373687746
1,sf-market-500,1.778146,1.3963172,0.049386160373687746
2,sf-market-500,2.436657,1.5390291,0.049386160373687746
3,sf-market-500,2.345603,1.8971434,0.049386160373687746
4,sf-market-500,2.1170633,1.5652747,0.049386160373687746
5,sf-market-500,2.5511854,1.842613,0.049386160373687746
6,sf-market-500,2.7750182,2.164791,0.049386160373687746
7,sf-market-500,1.4549513,1.0286667,0.049386160373687746
8,sf-market-500,2.2167554,1.7932367,0.049386160373687746
9,sf-market-500,2.9769511,2.1187563,0.049386160373687746
10,sf-market-500,1.9113076,1.3581972,0.049386160373687746
11,sf-market-500,1.950043,1.5478932,0.049386160373687746
12,sf-market-500,3.3398676,2.044149,0.049386160373687746
13,sf-market-500,2.88017,1.6872122,0.049386160373687746
14,sf-market-500,2.6881053,2.3073883,0.049386160373687746
15,sf-market-500,2.6051111,1.9357913,0.049386160373687746
16,sf-market-500,1.5893328,1.1609917,0.049386160373687746
17,sf-market-500,2.0027509,1.4778358,0.049386160373687746
18,sf-market-500,2.100244,1.7751536,0.049386160373687746
19,sf-market-500,2.1946492,1.7043154,0.049386160373687746
20,sf-market-500,1.7358079,1.2624869,0.049386160373687746
21,sf-market-500,2.3702602,1.7365112,0.049386160373687746
22,sf-market-500,2.730176,1.9952676,0.049386160373687746
23,sf-market-500,2.14543,1.5533102,0.049386160373687746
24,sf-market-500,1.9927536,1.5049424,0.049386160373687746
25,sf-market-500,3.7520874,1.8469927,0.049386160373687746
26,sf-market-500,1.7630641,1.259018,0.049386160373687746
27,sf-market-500,2.3989146,2.0444555,0.049386160373687746
28,sf-market-500,1.8287057,1.2923124,0.049386160373687746
29,sf-market-500,1.8081994,1.2358177,0.049386160373687746
30,sf-market-500,2.4320662,1.9412582,0.049386160373687746
31,sf-market-500,2.5539742,1.940218,0.049386160373687746
32,sf-market-500,1.6993153,1.2228016,0.049386160373687746
33,sf-market-500,1.8405461,1.4711992,0.049386160373687746
34,sf-market-500,3.1224468,2.663713,0.049386160373687746
35,sf-market-500,1.8596367,1.3733662,0.049386160373687746
36,sf-market-500,2.9465525,2.5103812,0.049386160373687746
37,sf-market-500,2.9130852,2.5471723,0.049386160373687746
38,sf-market-500,1.742408,1.3758401,0.049386160373687746
39,sf-market-500,1.7373106,1.2072173,0.049386160373687746
40,sf-market-500,2.2421021,1.667716,0.049386160373687746
41,sf-market-500,1.6794934,1.1926883,0.049386160373687746
42,sf-market-500,2.1577618,1.5647786,0.049386160373687746
43,sf-market-500,2.1667774,1.7376065,0.049386160373687746
44,sf-market-500,2.1844556,1.5958025,0.049386160373687746
45,sf-market-500,2.2068634,1.4469973,0.049386160373687746
46,sf-market-500,1.6682644,1.156712,0.049386160373687746
47,sf-market-500,2.5070615,1.8917353,0.049386160373687746
48,sf-market-500,2.6757379,2.1649504,0.049386160373687746
49,sf-market-500,1.9764752,1.4241403,0.049386160373687746
50,sf-market-500,2.3605494,1.7305632,0.049386160373687746
51,sf-market-500,1.8637965,1.2911869,0.049386160373687746
52,sf-market-500,1.7068048,1.2653711,0.049386160373687746
53,sf-market-500,2.1547437,1.7616498,0.049386160373687746
54,sf-market-500,2.1173935,1.7829933,0.049386160373687746
55,sf-market-500,1.9337318,1.5615532,0.049386160373687746
56,sf-market-500,1.8009045,1.2464838,0.049386160373687746
57,sf-market-500,2.0607872,1.561645,0.049386160373687746
58,sf-market-500,1.5820792,1.096791,0.049386160373687746
59,sf-market-500,2.0393648,1.5461417,0.049386160373687746
60,sf-market-500,3.2682261,2.7086363,0.049386160373687746
61,sf-market-500,2.0535235,1.4433327,0.049386160373687746
62,sf-market-500,2.3230536,1.614259,0.049386160373687746
63,sf-market-500,1.7498026,1.2240362,0.049386160373687746
64,sf-market-500,1.8966912,1.2741785,0.049386160373687746
65,sf-market-500,2.1177135,1.6216912,0.049386160373687746
66,sf-market-500,2.5721388,1.867465,0.049386160373687746
67,sf-market-500,2.5581875,1.8247185,0.049386160373687746
68,sf-market-500,2.727818,2.1017118,0.049386160373687746
69,sf-market-500,2.4407785,1.8431067,0.049386160373687746
