Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,sf-market-500,3.2307289,2.6422894,0.05452649593353272
1,sf-market-500,2.0620542,1.4434271,0.05452649593353272
2,sf-market-500,2.091538,1.6011295,0.05452649593353272
3,sf-market-500,2.604009,1.9888974,0.05452649593353272
4,sf-market-500,2.120461,1.607319,0.05452649593353272
5,sf-market-500,2.8342657,1.8858142,0.05452649593353272
6,sf-market-500,2.8908954,2.243372,0.05452649593353272
7,sf-market-500,1.5811379,1.0685222,0.05452649593353272
8,sf-market-500,2.4546547,1.8825418,0.05452649593353272
9,sf-market-500,2.9067488,2.1882572,0.05452649593353272
10,sf-market-500,1.8907378,1.4090738,0.05452649593353272
11,sf-market-500,1.9419521,1.5917,0.05452649593353272
12,sf-market-500,2.723879,2.1292038,0.05452649593353272
13,sf-market-500,2.6537611,1.7306162,0.05452649593353272
14,sf-market-500,2.8549793,2.377736,0.05452649593353272
15,sf-market-500,2.8240418,1.9888461,0.05452649593353272
16,sf-market-500,1.7621908,1.2114848,0.05452649593353272
17,sf-market-500,2.0336592,1.5410807,0.05452649593353272
18,sf-market-500,2.068235,1.817903,0.05452649593353272
19,sf-market-500,2.2077737,1.7634596,0.05452649593353272
20,sf-market-500,3.1619735,1.3005596,0.05452649593353272
21,sf-market-500,2.5564961,1.8025644,0.05452649593353272
22,sf-market-500,3.215039,2.0776932,0.05452649593353272
23,sf-market-500,2.027402,1.6176572,0.05452649593353272
24,sf-market-500,1.9656361,1.5483173,0.05452649593353272
25,sf-market-500,2.6655974,1.8925761,0.05452649593353272
26,sf-market-500,1.8747258,1.3164423,0.05452649593353272
27,sf-market-500,2.3948426,2.1092598,0.05452649593353272
28,sf-market-500,1.8144726,1.3269352,0.05452649593353272
29,sf-market-500,1.7750516,1.2724764,0.05452649593353272
30,sf-market-500,2.4669437,1.9987891,0.05452649593353272
31,sf-market-500,2.4159007,2.0002165,0.05452649593353272
32,sf-market-500,1.7220104,1.2714243,0.05452649593353272
33,sf-market-500,1.8093308,1.5120147,0.05452649593353272
34,sf-market-500,3.2406695,2.7463481,0.05452649593353272
35,sf-market-500,1.8122126,1.4395332,0.05452649593353272
36,sf-market-500,3.1910992,2.5817604,0.05452649593353272
37,sf-market-500,3.1060817,2.6315737,0.05452649593353272
38,sf-market-500,1.901449,1.4308931,0.05452649593353272
39,sf-market-500,2.0594506,1.2555541,0.05452649593353272
40,sf-market-500,2.3836443,1.7351286,0.05452649593353272
41,sf-market-500,1.6470582,1.23126,0.05452649593353272
42,sf-market-500,2.1068845,1.6106293,0.05452649593353272
43,sf-market-500,2.2753768,1.8672569,0.05452649593353272
44,sf-market-500,2.1782975,1.6361167,0.05452649593353272
45,sf-market-500,2.2488112,1.4857563,0.05452649593353272
46,sf-market-500,1.7262756,1.2179103,0.05452649593353272
47,sf-market-500,2.7697837,2.0350554,0.05452649593353272
48,sf-market-500,2.6479402,2.249297,0.05452649593353272
49,sf-market-500,1.8993382,1.4841644,0.05452649593353272
50,sf-market-500,4.473539,1.7811699,0.05452649593353272
51,sf-market-500,1.80085,1.3753321,0.05452649593353272
52,sf-market-500,1.7219115,1.3115952,0.05452649593353272
53,sf-market-500,2.3000894,1.8220009,0.05452649593353272
54,sf-market-500,2.2776496,1.8455828,0.05452649593353272
55,sf-market-500,2.1170626,1.6325078,0.05452649593353272
56,sf-market-500,1.8180423,1.2904711,0.05452649593353272
57,sf-market-500,2.0852904,1.5961136,0.05452649593353272
58,sf-market-500,1.6471237,1.1383364,0.05452649593353272
59,sf-market-500,2.026382,1.5977281,0.05452649593353272
60,sf-market-500,3.6064196,2.837217,0.05452649593353272
61,sf-market-500,2.0226607,1.4838916,0.05452649593353272
62,sf-market-500,2.1697686,1.6694523,0.05452649593353272
63,sf-market-500,2.2648737,1.2726136,0.05452649593353272
64,sf-market-500,1.9881973,1.3099954,0.05452649593353272
65,sf-market-500,2.0189278,1.6819204,0.05452649593353272
66,sf-market-500,2.3859506,1.9381995,0.05452649593353272
67,sf-market-500,2.543375,1.9206378,0.05452649593353272
68,sf-market-500,2.8579144,2.1881566,0.05452649593353272
69,sf-market-500,2.2995512,1.911385,0.05452649593353272
70,sf-market-500,2.4889212,1.6980151,0.05452649593353272
71,sf-market-500,2.2013535,1.6935663,0.05452649593353272
72,sf-market-500,1.833765,1.4664806,0.05452649593353272
73,sf-market-500,1.8552911,1.2946682,0.05452649593353272
74,sf-market-500,2.259561,1.9426576,0.05452649593353272
75,sf-market-500,2.186655,1.7725548,0.05452649593353272
76,sf-market-500,2.4151154,1.4014719,0.05452649593353272
77,sf-market-500,2.2835338,1.6450039,0.05452649593353272
78,sf-market-500,1.7992266,1.3390428,0.05452649593353272
79,sf-market-500,1.7132828,1.2632093,0.05452649593353272
80,sf-market-500,2.0439315,1.6579821,0.05452649593353272
81,sf-market-500,3.123145,2.3974876,0.05452649593353272
82,sf-market-500,1.850349,1.49129,0.05452649593353272
83,sf-market-500,2.0526567,1.551622,0.05452649593353272
84,sf-market-500,1.9987799,1.7042029,0.05452649593353272
85,sf-market-500,2.3331296,1.643957,0.05452649593353272
86,sf-market-500,2.547411,2.0834494,0.05452649593353272
87,sf-market-500,2.052191,1.726465,0.05452649593353272
88,sf-market-500,1.9287713,1.5579408,0.05452649593353272
89,sf-market-500,3.1179452,2.5173965,0.05452649593353272
90,sf-market-500,2.2968352,1.636148,0.05452649593353272
91,sf-market-500,1.7354641,1.4410701,0.05452649593353272
92,sf-market-500,1.7872348,1.4837979,0.05452649593353272
93,sf-market-500,2.7350645,1.846378,0.05452649593353272
94,sf-market-500,2.0330837,1.5275104,0.05452649593353272
95,sf-market-500,1.7644868,1.4167352,0.05452649593353272
96,sf-market-500,1.7969661,1.3436491,0.05452649593353272
97,sf-market-500,1.9410261,1.4250828,0.05452649593353272
98,sf-market-500,2.010594,1.4729807,0.05452649593353272
99,sf-market-500,1.702452,1.3642926,0.05452649593353272
100,sf-market-500,2.0843387,1.572769,0.015601212978363038
101,sf-market-500,1.9015259,1.4322962,0.015601212978363038
102,sf-market-500,1.8152925,1.4254173,0.015601212978363038
103,sf-market-500,2.8339877,1.5321746,0.015601212978363038
104,sf-market-500,2.8049026,2.4967232,0.015601212978363038
105,sf-market-500,1.6818521,1.2560232,0.015601212978363038
106,sf-market-500,1.9816203,1.7097528,0.015601212978363038
107,sf-market-500,1.9786836,1.4254613,0.015601212978363038
108,sf-market-500,2.2976894,1.801054,0.015601212978363038
109,sf-market-500,2.2427793,1.6068479,0.015601212978363038
110,sf-market-500,2.115587,1.5968068,0.015601212978363038
111,sf-market-500,2.291339,1.7794997,0.015601212978363038
112,sf-market-500,2.5650249,1.9071078,0.015601212978363038
113,sf-market-500,2.4602187,1.9780442,0.015601212978363038
114,sf-market-500,3.2314818,2.6016555,0.015601212978363038
115,sf-market-500,2.1252043,1.6039442,0.015601212978363038
116,sf-market-500,1.8869778,1.4923902,0.015601212978363038
117,sf-market-500,1.8313957,1.5323591,0.015601212978363038
118,sf-market-500,1.8565269,1.4507526,0.015601212978363038
119,sf-market-500,3.1076922,2.6409614,0.015601212978363038
120,sf-market-500,2.3413408,1.8987416,0.015601212978363038
121,sf-market-500,1.9616923,1.4409863,0.015601212978363038
122,sf-market-500,2.260488,1.8521022,0.015601212978363038
123,sf-market-500,1.8455167,1.4396306,0.015601212978363038
124,sf-market-500,2.0622978,1.395682,0.015601212978363038
125,sf-market-500,2.822143,2.4041097,0.015601212978363038
126,sf-market-500,2.221026,1.5095075,0.015601212978363038
127,sf-market-500,2.5759883,1.9269831,0.015601212978363038
128,sf-market-500,2.3586333,1.820285,0.015601212978363038
129,sf-market-500,2.7640553,2.2332177,0.015601212978363038
130,sf-market-500,2.732692,2.4062996,0.015601212978363038
131,sf-market-500,2.7672808,2.3034003,0.015601212978363038
132,sf-market-500,2.0600035,1.444288,0.015601212978363038
133,sf-market-500,1.7866073,1.4844487,0.015601212978363038
134,sf-market-500,2.3823729,1.949509,0.015601212978363038
135,sf-market-500,2.2459621,1.4921837,0.015601212978363038
136,sf-market-500,2.6157546,1.9732741,0.015601212978363038
137,sf-market-500,3.6157475,3.184203,0.015601212978363038
138,sf-market-500,1.4957399,1.1403401,0.015601212978363038
139,sf-market-500,2.7870932,2.2708886,0.015601212978363038
140,sf-market-500,2.8926525,2.3299084,0.015601212978363038
141,sf-market-500,2.4804816,1.6637244,0.015601212978363038
142,sf-market-500,3.019891,2.4390385,0.015601212978363038
143,sf-market-500,2.2312472,1.9029626,0.015601212978363038
144,sf-market-500,2.7021577,1.9483759,0.015601212978363038
145,sf-market-500,1.8682346,1.3786997,0.015601212978363038
146,sf-market-500,2.710381,2.085076,0.015601212978363038
147,sf-market-500,3.4690678,3.0437205,0.015601212978363038
148,sf-market-500,1.8069417,1.1663644,0.015601212978363038
149,sf-market-500,2.1097274,1.7113421,0.015601212978363038
150,sf-market-500,2.3738842,1.8059136,0.015601212978363038
151,sf-market-500,2.0805922,1.7356554,0.015601212978363038
152,sf-market-500,2.8782582,2.3645358,0.015601212978363038
153,sf-market-500,2.6044798,2.2608657,0.015601212978363038
