Test Instance,Graph,Flow Cost,Dual Cost,Time (sec)
0,sf-market-500,1654.5818,0.0,0.012954432964324952
1,sf-market-500,1992.0057,0.0,0.012954432964324952
2,sf-market-500,5333.3896,0.0,0.012954432964324952
3,sf-market-500,1236.7708,0.0,0.012954432964324952
4,sf-market-500,108.77208,0.0,0.012954432964324952
5,sf-market-500,327.34503,0.0,0.012954432964324952
6,sf-market-500,1049.6064,0.0,0.012954432964324952
7,sf-market-500,812.5636,0.0,0.012954432964324952
8,sf-market-500,158.01123,0.0,0.012954432964324952
9,sf-market-500,4599.8623,0.0,0.012954432964324952
10,sf-market-500,442.70245,0.0,0.012954432964324952
11,sf-market-500,316.0791,0.0,0.012954432964324952
12,sf-market-500,457.0072,0.0,0.012954432964324952
13,sf-market-500,1537.4167,0.0,0.012954432964324952
14,sf-market-500,2325.9075,0.0,0.012954432964324952
15,sf-market-500,1047.8062,0.0,0.012954432964324952
16,sf-market-500,1069.1489,0.0,0.012954432964324952
17,sf-market-500,1718.5835,0.0,0.012954432964324952
18,sf-market-500,344.19055,0.0,0.012954432964324952
19,sf-market-500,2998.4758,0.0,0.012954432964324952
20,sf-market-500,753.1749,0.0,0.012954432964324952
21,sf-market-500,368.61462,0.0,0.012954432964324952
22,sf-market-500,301.1756,0.0,0.012954432964324952
23,sf-market-500,4192.0566,0.0,0.012954432964324952
24,sf-market-500,815.647,0.0,0.012954432964324952
25,sf-market-500,125.534424,0.0,0.012954432964324952
26,sf-market-500,725.2105,0.0,0.012954432964324952
27,sf-market-500,92.53018,0.0,0.012954432964324952
28,sf-market-500,726.4432,0.0,0.012954432964324952
29,sf-market-500,3136.4653,0.0,0.012954432964324952
30,sf-market-500,591.141,0.0,0.012954432964324952
31,sf-market-500,4057.6697,0.0,0.012954432964324952
32,sf-market-500,5066.2017,0.0,0.012954432964324952
33,sf-market-500,220.85141,0.0,0.012954432964324952
34,sf-market-500,866.08685,0.0,0.012954432964324952
35,sf-market-500,1800.3369,0.0,0.012954432964324952
36,sf-market-500,185.84692,0.0,0.012954432964324952
37,sf-market-500,3399.7446,0.0,0.012954432964324952
38,sf-market-500,2934.1729,0.0,0.012954432964324952
39,sf-market-500,1043.612,0.0,0.012954432964324952
40,sf-market-500,750.03735,0.0,0.012954432964324952
41,sf-market-500,2934.809,0.0,0.012954432964324952
42,sf-market-500,5543.3574,0.0,0.012954432964324952
43,sf-market-500,1049.2767,0.0,0.012954432964324952
