Index,Graph,Flow Cost,Time (sec),Num Iters
0,sf-market-500,2.6422892845502757,4.8104164600372314,36
100,sf-market-500,1.5727689527227402,2.3669333457946777,34
200,sf-market-500,1.9451858528477888,6.5732550621032715,119
300,sf-market-500,1.6092524350582007,12.27051329612732,110
400,sf-market-500,1.78770718704761,6.6750648021698,86
500,sf-market-500,1.3799206428446347,5.353715896606445,42
600,sf-market-500,1.9971012009204814,13.97811508178711,158
700,sf-market-500,2.9305859483475594,10.187765836715698,126
800,sf-market-500,1.6162011279658017,3.7935752868652344,34
900,sf-market-500,2.5837643763106932,7.411352872848511,106
